,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.38,1.1,0.78,0.82,0.73,0.61,1.34,1.7,1.57,1.6,1.43,0.8,2.24,1.77,2.1,1.51
e_1,0.75,2.42,0.7,0.8,0.74,0.81,1.34,3.07,1.44,1.58,1.89,1.9,2.23,1.33,2.45,1.17
d_1,0.92,0.79,2.49,0.57,0.78,0.72,1.52,0.6,1.22,3.0,1.8,1.56,1.88,2.2,1.8,1.67
c_1,0.75,0.75,0.85,2.55,1.23,0.72,1.33,1.19,1.66,0.59,1.43,2.06,1.98,1.88,1.77,1.64
b_1,0.76,0.77,0.7,0.74,2.69,1.52,1.51,1.94,1.39,1.6,0.7,1.56,1.71,1.33,2.21,1.44
a_1,0.88,0.74,0.81,0.76,0.5,3.33,2.35,1.88,1.91,1.45,2.27,1.57,2.67,0.9,1.86,1.66
h_1,1.34,1.05,1.12,1.15,0.88,0.55,3.92,1.78,2.53,2.03,1.96,1.94,1.65,1.88,3.13,2.39
d_0,0.94,0.76,0.64,1.99,0.96,1.01,2.42,3.71,1.79,1.98,2.47,2.35,2.46,1.78,3.17,3.17
g_1,0.9,1.03,1.6,0.85,1.07,0.58,1.63,1.9,4.4,2.35,2.24,3.33,2.79,2.23,1.58,2.38
c_0,1.12,1.06,0.84,0.83,0.95,1.2,1.94,2.03,2.08,3.81,3.76,2.55,3.27,2.51,3.26,2.72
b_0,1.18,1.03,1.1,1.11,0.64,0.85,2.16,1.97,1.82,1.97,3.88,2.22,2.89,4.26,2.68,2.58
f_0,0.54,0.81,1.31,1.1,1.06,1.1,2.28,2.33,1.94,2.36,2.82,4.17,2.9,2.8,2.37,4.59
h_0,1.18,0.98,1.22,0.96,1.08,0.83,1.36,2.13,2.13,1.84,2.44,2.16,1.57,2.2,2.99,2.14
a_0,0.93,1.25,0.94,1.09,1.1,0.63,2.32,2.21,2.0,2.2,1.97,2.38,2.81,4.68,3.58,2.46
g_0,0.99,0.86,1.43,1.24,0.87,1.03,1.82,1.92,,1.88,2.46,2.97,2.57,1.85,1.65,2.15
e_0,0.98,0.56,0.99,1.41,1.31,0.89,1.91,2.14,2.08,2.11,3.12,2.25,3.53,2.07,3.44,5.02
