,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.14,10.52,11.23,8.53,10.84,7.41,1.83,3.97,2.26,1.88,2.22,7.32,1.12,2.33,1.59,2.43
e_1,5.49,1.14,11.9,13.81,14.29,9.79,3.33,3.16,2.83,2.45,2.41,3.08,1.92,2.42,2.22,10.77
c_1,12.13,10.34,1.14,13.99,10.84,11.28,4.54,3.19,1.26,8.46,3.18,2.24,1.35,2.09,2.07,2.15
d_1,13.17,15.54,14.07,1.14,13.65,15.13,2.98,1.98,10.0,2.1,1.87,2.18,1.55,2.46,0.99,2.17
b_1,21.05,13.96,6.45,16.4,1.14,18.07,4.62,5.67,3.3,4.2,17.5,3.44,2.41,4.09,2.21,2.45
a_1,20.17,22.72,25.31,22.91,10.35,1.15,7.35,6.66,5.4,5.51,4.34,7.54,4.7,26.73,3.86,5.3
h_1,27.97,26.59,27.13,25.24,25.64,31.54,1.89,9.94,5.81,7.12,5.47,6.05,14.97,5.08,4.13,8.28
g_1,33.61,35.89,33.57,35.12,32.65,33.23,9.18,1.92,7.16,6.21,5.53,5.53,3.45,5.9,11.19,7.18
d_0,35.16,18.13,36.07,97.91,32.27,30.51,11.38,11.83,2.68,6.42,7.95,6.12,5.57,7.04,5.51,5.98
c_0,44.56,32.04,130.42,20.07,42.2,31.54,11.71,14.29,9.07,2.74,8.61,7.12,5.84,10.55,7.54,7.88
b_0,43.55,38.59,67.82,32.64,124.68,60.03,10.92,9.94,8.61,3.24,2.66,6.84,5.26,6.8,3.81,5.47
f_0,182.48,36.62,42.39,33.66,46.49,64.17,12.62,6.73,7.73,7.68,7.29,2.5,6.56,6.57,3.73,6.59
h_0,50.42,47.22,45.21,47.51,42.86,39.6,31.08,14.6,8.0,9.27,7.84,6.67,17.74,9.78,6.55,7.34
a_0,56.35,51.27,66.49,45.51,97.96,,16.16,13.45,9.07,8.72,5.53,8.0,7.26,2.67,6.94,14.04
g_0,69.67,70.37,80.74,45.51,54.86,88.62,16.49,52.77,13.08,9.42,11.41,11.82,8.71,11.79,20.41,11.14
e_0,112.71,132.93,66.49,73.43,63.79,93.05,19.24,16.33,10.79,10.81,9.55,5.78,9.21,11.46,8.67,2.63
