,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,93.18,54.06,60.08,95.63,133.81,405.35,7435.81,35701.66,20175.85,23381.81,43851.32,62978.16,72824.73,115920.55,92847.51,217654.13
f_1,66.84,106.87,67.91,74.1,100.74,318.77,6387.05,17942.5,18316.97,23360.06,33044.26,28578.51,81743.55,102751.44,93501.19,169627.43
d_1,45.36,50.65,129.23,59.67,98.9,349.66,7605.66,12697.29,15947.72,35287.9,38289.88,45905.58,78992.63,107178.88,132863.75,173406.02
c_1,37.15,46.68,61.84,143.66,166.57,347.62,6878.47,14365.36,13708.0,11541.03,24982.45,41683.32,63049.9,103368.56,101041.92,188417.54
b_1,29.93,45.11,59.46,53.24,205.47,504.71,5486.99,15500.87,13906.58,17762.6,15574.17,39043.52,49674.67,84312.75,107810.55,120945.43
a_1,24.98,31.82,31.49,46.16,53.05,549.97,4377.13,8960.08,9708.92,12538.67,21934.45,26227.66,26120.14,57214.62,59139.46,93654.06
h_1,12.64,19.17,17.8,19.63,31.24,84.39,3075.39,4868.34,4888.79,5578.13,8835.97,11383.18,20850.38,23207.49,30225.57,60315.45
d_0,7.14,10.65,10.02,26.84,23.49,82.96,1439.53,5506.16,3850.5,3491.32,7536.96,9715.18,16317.49,23683.88,23124.21,35578.6
g_1,7.73,8.42,18.61,16.59,23.15,71.74,1564.49,3511.36,6224.74,5191.1,6811.71,13526.27,17501.55,20772.44,26144.61,34974.03
c_0,8.86,10.76,12.38,14.39,16.19,64.38,1647.51,4325.51,3648.1,6382.31,11977.0,9852.55,17957.8,21392.0,24303.96,41728.33
b_0,7.06,10.3,10.63,15.1,16.33,52.02,1444.1,3326.93,3343.96,3288.81,8659.48,8554.84,24333.37,19190.65,20148.36,32434.64
f_0,4.85,7.3,11.49,13.15,18.77,57.21,1307.21,3023.88,2518.27,3588.2,5947.1,10980.37,13362.23,17200.4,33917.55,28770.12
a_0,6.77,6.52,8.21,11.0,16.9,45.62,1076.26,2571.63,2190.83,2586.61,3524.89,6429.13,16490.53,14917.19,16600.55,22609.81
h_0,5.52,8.27,8.68,9.25,13.19,38.71,658.92,2321.34,2700.27,2804.24,4131.29,5907.65,9386.52,11138.37,13887.3,30476.88
e_0,3.57,6.92,7.9,9.07,12.95,51.9,867.76,2073.52,2061.51,3034.37,4693.65,4930.05,8941.9,14543.73,21915.32,22166.61
g_0,4.08,5.26,9.51,7.51,14.14,33.07,705.8,1821.06,1328.53,2159.96,3564.59,7002.34,8016.46,10651.07,13989.73,15562.31
