,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,2.3,1.11,0.89,1.28,1.02,0.82,1.81,3.62,1.75,1.94,2.24,2.24,1.7,2.7,1.38,2.71
f_1,1.73,2.37,0.99,1.05,0.79,0.72,1.82,2.17,1.66,1.94,2.05,1.21,1.83,2.63,1.28,2.1
d_1,1.15,1.13,2.48,0.87,0.82,0.72,2.29,1.51,1.88,3.67,2.51,2.15,2.01,2.61,2.08,2.69
c_1,1.01,1.02,0.96,2.49,1.75,0.89,1.85,1.99,1.51,1.41,1.53,1.89,1.7,2.56,1.92,2.47
b_1,1.06,1.08,1.02,1.09,2.65,1.6,1.87,2.16,1.6,1.8,1.45,2.01,1.49,2.51,2.05,2.12
a_1,1.09,1.27,1.0,1.11,1.06,3.2,2.09,1.9,1.66,2.08,1.98,2.06,1.27,2.51,1.98,2.23
h_1,1.26,1.51,1.11,1.11,1.0,0.73,3.5,2.01,2.21,1.97,2.19,1.97,2.01,2.28,2.11,3.32
d_0,1.11,1.12,0.86,1.89,1.18,0.8,1.8,3.33,1.85,1.5,2.25,2.22,2.09,2.78,1.8,2.34
g_1,1.02,0.99,1.66,1.1,1.03,0.74,2.15,1.82,3.95,2.52,2.36,3.41,2.08,2.91,2.5,2.27
c_0,1.2,1.25,1.27,1.08,0.76,0.78,2.2,2.43,2.02,3.6,4.16,2.3,2.73,3.11,2.09,2.99
b_0,1.2,1.27,1.17,1.22,0.91,0.68,2.41,2.29,2.16,2.38,3.46,2.24,3.87,3.05,2.21,2.76
f_0,0.97,0.93,1.28,1.19,1.28,0.93,2.17,2.37,2.07,2.26,2.56,3.55,2.15,2.91,3.86,3.22
a_0,1.3,1.21,1.09,1.13,1.01,0.67,2.11,2.32,1.94,2.19,2.13,2.24,3.8,3.18,2.11,2.48
h_0,1.22,1.4,1.36,1.06,0.98,0.74,1.68,2.14,2.42,2.2,2.12,2.26,2.07,2.41,2.07,3.6
e_0,0.97,1.28,1.31,1.12,1.03,1.12,2.22,1.94,1.87,2.27,2.72,2.2,2.18,3.21,3.67,2.74
g_0,1.06,1.04,1.63,1.11,1.12,0.77,2.0,1.91,1.43,2.34,2.13,3.14,1.9,2.77,2.53,2.03
