,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,0.66,1.14,1.01,1.06,0.89,0.83,0.38,0.53,0.37,0.4,0.38,0.49,0.27,0.29,0.36,0.36
e_1,0.73,0.65,1.16,1.23,1.13,1.07,0.52,0.51,0.37,0.46,0.39,0.51,0.31,0.47,0.38,0.33
d_1,1.21,1.17,0.65,1.06,1.05,0.93,0.49,0.34,0.45,0.47,0.4,0.36,0.3,0.37,0.31,0.22
c_1,1.12,0.91,1.38,0.63,1.38,1.02,0.51,0.54,0.46,0.25,0.37,0.38,0.29,0.41,0.38,0.31
b_1,1.43,1.23,1.13,0.71,0.62,1.15,0.51,0.52,0.56,0.45,0.5,0.42,0.43,0.42,0.41,0.35
a_1,1.52,1.47,1.41,1.34,0.91,0.56,0.7,0.65,0.55,0.6,0.63,0.52,0.45,0.49,0.59,0.45
h_1,1.92,1.67,1.79,1.63,1.69,1.35,0.55,0.81,0.59,0.6,0.58,0.67,0.58,0.55,0.61,0.54
g_1,1.84,1.76,2.0,1.71,1.91,1.78,0.75,0.53,0.64,0.69,0.61,0.74,0.41,0.62,0.64,0.54
c_0,2.12,2.24,1.24,2.81,1.66,1.58,0.99,0.88,0.58,1.08,0.9,0.71,0.58,0.67,0.68,0.52
d_0,1.91,1.3,2.64,2.35,2.0,1.9,1.05,0.97,0.62,0.58,0.68,0.71,0.56,0.84,0.8,0.66
b_0,2.01,1.77,1.79,2.53,2.27,1.62,0.98,0.89,0.45,0.79,0.57,0.68,0.62,0.69,0.76,0.56
f_0,2.38,1.68,2.03,2.03,1.89,2.02,0.88,0.61,0.71,0.77,0.68,0.55,0.64,1.01,0.68,0.39
h_0,2.21,2.21,2.4,2.36,1.95,1.97,1.21,1.13,0.77,0.84,0.74,0.78,0.8,0.71,0.66,0.64
e_0,3.36,2.54,2.05,2.47,2.26,1.78,1.16,0.95,0.74,0.78,0.77,0.46,0.72,0.53,0.74,0.53
a_0,2.58,2.19,2.32,2.7,2.36,2.24,0.94,0.98,0.74,0.93,0.51,0.75,0.76,0.76,0.53,0.65
g_0,2.52,2.45,2.8,2.61,2.29,2.17,0.83,1.2,0.89,0.78,0.86,0.93,0.64,0.82,0.7,0.79
