,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,0.65,1.13,0.98,0.92,0.9,0.83,0.4,0.41,0.31,0.38,0.35,0.34,0.26,0.31,0.28,0.21
e_1,0.98,0.65,0.71,1.0,0.96,0.91,0.43,0.42,0.46,0.36,0.41,0.35,0.3,0.33,0.43,0.3
f_1,0.9,1.0,0.64,1.0,0.99,0.85,0.34,0.37,0.47,0.32,0.37,0.31,0.23,0.31,0.27,0.28
c_1,1.13,0.83,1.0,0.64,1.01,0.95,0.43,0.25,0.42,0.37,0.32,0.3,0.3,0.31,0.32,0.32
b_1,1.15,1.01,1.18,0.74,0.61,1.05,0.52,0.35,0.47,0.52,0.37,0.57,0.33,0.37,0.35,0.33
a_1,1.23,1.07,1.26,1.22,0.74,0.57,0.61,0.46,0.58,0.49,0.44,0.53,0.39,0.54,0.47,0.34
h_1,1.61,1.53,1.77,1.61,1.3,1.28,0.53,0.59,0.79,0.54,0.56,0.59,0.55,0.54,0.5,0.51
d_0,1.87,1.21,1.64,1.99,1.84,1.45,0.77,0.56,0.78,0.6,0.6,0.61,0.54,0.55,0.62,0.56
g_1,1.85,1.62,1.7,1.81,1.78,1.31,0.64,0.69,0.51,0.67,0.64,0.64,0.46,0.63,0.63,0.57
c_0,1.26,1.95,1.85,2.22,1.58,1.38,0.84,0.88,0.72,0.54,0.67,0.8,0.57,0.66,0.63,0.56
f_0,1.7,1.73,2.25,1.89,1.81,1.59,0.78,0.67,0.6,0.66,0.54,0.65,0.54,0.55,0.7,0.41
b_0,1.59,1.73,1.88,2.33,1.77,1.47,0.84,0.79,0.75,0.45,0.67,0.54,0.54,0.78,0.7,0.54
h_0,1.98,1.87,2.2,1.89,1.91,1.58,0.99,0.76,0.86,0.7,0.71,0.66,0.64,0.63,0.62,0.59
a_0,1.95,2.19,2.19,2.2,2.11,1.91,0.87,0.85,0.74,0.67,0.7,0.47,0.6,0.51,0.67,0.58
e_0,1.92,2.31,2.95,2.23,1.86,1.53,0.96,0.76,0.75,0.75,0.48,0.74,0.6,0.65,0.52,0.59
g_0,2.18,2.1,2.38,1.95,1.79,1.85,0.82,0.79,0.94,0.76,0.84,0.78,0.52,0.69,0.69,0.62
