,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,0.4,0.43,0.55,0.75,0.64,0.55,0.33,0.36,0.34,0.27,0.35,0.28,0.23,0.33,0.25,0.29
f_1,0.66,0.39,0.55,0.6,0.57,0.49,0.26,0.35,0.29,0.26,0.31,0.26,0.18,0.25,0.24,0.25
d_1,0.68,0.64,0.39,0.57,0.57,0.55,0.29,0.23,0.34,0.27,0.24,0.28,0.22,0.27,0.18,0.25
c_1,0.48,0.61,0.73,0.39,0.63,0.63,0.31,0.29,0.17,0.27,0.26,0.25,0.23,0.26,0.22,0.26
b_1,0.58,0.6,0.65,0.43,0.37,0.67,0.36,0.35,0.26,0.34,0.27,0.32,0.26,0.29,0.26,0.26
a_1,0.64,0.71,0.66,0.53,0.39,0.31,0.35,0.34,0.29,0.31,0.28,0.32,0.24,0.25,0.24,0.3
h_1,0.53,0.61,0.54,0.61,0.55,0.49,0.23,0.32,0.26,0.25,0.25,0.26,0.23,0.22,0.22,0.22
g_1,0.52,0.61,0.59,0.59,0.54,0.52,0.25,0.22,0.23,0.23,0.29,0.25,0.18,0.24,0.23,0.21
d_0,0.4,0.55,0.62,0.69,0.6,0.51,0.33,0.35,0.22,0.22,0.28,0.26,0.22,0.27,0.24,0.25
c_0,0.61,0.57,0.43,0.73,0.59,0.51,0.3,0.3,0.33,0.22,0.28,0.3,0.25,0.28,0.21,0.28
f_0,0.5,0.63,0.58,0.59,0.62,0.54,0.29,0.22,0.24,0.24,0.21,0.24,0.22,0.3,0.16,0.24
b_0,0.53,0.57,0.49,0.72,0.66,0.5,0.3,0.29,0.29,0.17,0.27,0.21,0.22,0.24,0.22,0.28
h_0,0.54,0.61,0.56,0.57,0.52,0.52,0.32,0.31,0.25,0.23,0.28,0.23,0.24,0.25,0.23,0.22
e_0,0.57,0.73,0.51,0.58,0.53,0.52,0.33,0.26,0.28,0.24,0.16,0.24,0.24,0.18,0.19,0.2
g_0,0.54,0.64,0.56,0.62,0.56,0.49,0.25,0.3,0.25,0.25,0.26,0.26,0.19,0.26,0.22,0.24
a_0,0.52,0.57,0.54,0.57,0.68,0.63,0.32,0.3,0.24,0.21,0.23,0.17,0.2,0.26,0.22,0.18
