,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,1.0,0.79,1.3,1.18,1.58,2.87,15.81,34.18,30.54,33.03,46.68,43.01,78.21,92.25,124.85,
f_1,1.26,1.0,1.21,1.05,1.62,3.74,15.48,22.57,27.48,33.68,,38.32,48.0,62.93,92.99,94.27
c_1,0.77,0.82,1.0,1.06,1.75,2.11,12.83,14.31,21.3,,33.46,37.61,68.63,68.24,110.28,84.18
d_1,0.85,0.95,0.94,1.0,1.22,2.08,13.05,,19.03,31.97,30.86,32.35,55.9,63.75,74.48,96.6
b_1,0.63,0.62,0.57,0.82,1.0,2.72,11.23,12.66,20.4,17.48,34.96,,53.6,,54.36,68.31
a_1,0.35,0.27,0.47,0.48,0.37,1.0,5.78,7.46,8.06,14.76,14.55,,26.94,,38.12,
h_1,0.06,0.06,0.08,0.08,0.09,0.17,1.0,1.38,1.94,1.74,2.08,2.37,,4.03,6.95,7.62
d_0,0.03,0.04,0.07,,0.08,0.13,0.73,1.0,1.19,1.23,1.72,1.87,2.74,3.73,4.64,4.74
g_1,0.03,0.04,0.05,0.05,0.05,0.12,0.51,0.84,1.0,1.01,1.51,1.73,1.95,,,
c_0,0.03,0.03,,0.03,0.06,0.07,0.58,0.82,0.99,1.0,1.45,2.28,2.26,2.82,3.27,2.79
f_0,0.02,,0.03,0.03,0.03,0.07,0.48,0.58,0.66,0.69,1.0,1.19,2.61,2.13,1.76,4.25
b_0,0.02,0.03,0.03,0.03,,,0.42,0.54,0.58,0.44,0.84,1.0,1.64,2.98,2.42,
h_0,0.01,0.02,0.01,0.02,0.02,0.04,,0.36,0.51,0.44,0.38,0.61,,1.2,1.93,1.51
a_0,0.01,0.02,0.01,0.02,,,0.25,0.27,,0.35,0.47,0.34,0.84,1.0,1.07,
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.14,0.22,,0.31,0.57,0.41,0.52,0.93,,1.36
e_0,,0.01,0.01,0.01,0.01,,0.13,0.21,,0.36,0.24,,0.66,,0.74,1.0
