,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.66,3.94,5.23,5.87,7.61,5.48,2.72,2.47,2.29,2.39,1.9,1.96,1.48,1.91,,1.86
f_1,6.85,0.66,7.57,7.19,4.09,5.09,2.33,1.74,2.23,3.67,2.02,,1.23,1.99,1.82,1.58
c_1,6.22,5.0,0.66,5.39,7.34,6.43,2.51,1.4,,2.91,1.75,1.92,1.6,2.0,2.91,1.77
d_1,6.2,5.0,6.18,0.66,7.13,5.23,2.7,,3.11,1.82,2.02,1.9,1.56,1.59,1.95,1.23
b_1,5.95,8.77,3.56,4.85,0.63,9.72,2.65,2.73,2.7,3.17,,2.52,1.71,2.21,,1.57
a_1,9.22,9.2,6.65,7.1,4.05,0.59,3.53,2.64,2.14,3.43,3.1,2.37,1.59,,,1.99
h_1,4.8,5.52,5.47,5.99,4.68,3.62,0.61,1.84,1.88,2.31,1.94,1.67,,,1.15,1.58
d_0,2.86,5.45,5.6,,4.32,4.29,2.17,0.71,1.55,1.77,1.84,1.66,1.74,1.59,1.67,1.55
c_0,4.03,4.72,,2.87,3.44,5.7,2.1,2.16,0.71,1.96,1.81,1.77,1.53,2.18,1.66,1.77
g_1,6.13,4.39,5.71,5.87,5.08,5.05,2.03,2.41,2.12,0.58,2.29,1.94,1.49,1.78,1.76,
b_0,5.31,4.78,7.23,4.4,,4.29,2.13,2.02,1.39,2.06,0.67,1.76,1.56,2.79,1.77,1.38
f_0,7.34,,5.41,5.17,4.5,4.12,2.21,1.81,2.23,1.69,2.43,0.68,2.19,,1.62,0.81
h_0,5.91,4.93,4.26,4.61,4.86,6.27,,1.52,1.51,1.86,1.5,1.36,,1.15,2.02,1.64
a_0,6.51,5.5,4.91,8.19,6.54,,,3.0,1.64,2.99,1.23,,2.03,0.61,1.95,1.46
e_0,,7.88,5.28,6.98,,,2.42,2.28,1.89,2.71,2.54,1.49,1.41,1.95,0.61,1.9
g_0,5.39,5.7,4.71,6.14,6.63,4.9,1.53,1.43,1.46,,2.12,2.17,1.08,1.92,1.94,
