,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,0.96,0.64,0.69,0.49,0.47,0.39,0.43,0.33,0.59,0.33,0.46,0.35,0.34,0.32,0.3,0.31
e_1,0.56,0.96,0.58,0.69,0.57,0.42,0.43,0.37,0.38,0.56,0.35,0.43,0.38,0.31,0.26,0.33
f_1,0.59,0.95,0.96,0.6,0.5,0.35,0.36,0.38,0.38,0.4,0.37,0.28,0.34,0.3,0.21,0.27
c_1,0.71,0.58,0.62,0.95,0.85,0.46,0.46,0.37,0.32,0.33,0.29,0.4,0.35,0.25,0.26,0.33
b_1,0.77,0.6,0.76,0.53,0.95,0.71,0.5,0.39,0.43,0.37,0.34,0.36,0.37,0.23,0.33,0.37
a_1,0.84,0.77,0.85,0.67,0.48,0.94,0.55,0.44,0.45,0.5,0.42,0.41,0.49,0.26,0.39,0.39
h_1,0.98,0.88,1.11,0.86,0.76,0.59,0.81,0.6,0.56,0.51,0.52,0.46,0.47,0.41,0.41,0.56
g_1,1.34,0.82,0.78,0.89,0.85,0.63,0.68,0.8,0.63,0.5,0.56,0.68,0.52,0.5,0.52,0.46
c_0,0.96,1.04,1.0,0.87,0.71,0.67,0.7,0.59,0.75,0.7,0.84,0.56,0.59,0.58,0.45,0.52
d_0,0.87,0.92,1.04,1.38,0.9,0.62,0.73,0.62,0.46,0.73,0.49,0.62,0.58,0.44,0.47,0.54
b_0,1.13,1.08,1.01,0.99,0.65,0.6,0.74,0.64,0.61,0.65,0.74,0.53,0.62,0.83,0.46,0.56
f_0,1.13,0.82,1.07,0.91,0.87,0.81,0.83,0.62,0.67,0.57,0.64,0.74,0.65,0.52,0.84,0.52
h_0,1.23,1.11,1.33,1.02,0.91,0.6,0.66,0.75,0.71,0.59,0.58,0.56,0.55,0.55,0.4,0.65
a_0,1.22,1.14,1.13,1.16,0.92,0.7,0.82,0.68,0.7,0.67,0.58,0.63,0.64,0.68,0.45,0.55
e_0,1.25,1.04,1.3,1.04,0.93,0.72,0.83,0.64,0.78,0.63,0.72,0.54,0.76,0.57,0.69,0.61
g_0,1.47,1.05,1.21,1.0,0.82,0.76,0.73,0.66,0.77,0.6,0.65,0.8,0.58,0.59,0.51,0.56
