,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,5.83,1.5,1.37,1.99,1.46,1.41,5.19,5.79,6.14,13.74,8.27,8.49,8.18,10.78,4.46,9.05
f_1,2.41,5.86,1.53,1.57,1.51,1.37,5.11,4.56,5.97,6.35,7.03,3.14,7.11,9.59,4.76,9.44
d_1,1.46,1.73,6.09,1.1,1.6,1.5,6.04,5.97,13.3,3.11,8.47,7.89,7.7,11.51,8.04,12.02
c_1,1.51,1.44,1.53,7.19,2.82,1.48,5.07,4.71,2.21,7.09,6.85,7.07,6.97,8.91,7.09,11.58
b_1,1.51,1.52,1.63,1.34,7.86,3.2,5.38,5.15,6.39,6.13,2.48,7.16,4.66,11.45,7.46,10.34
a_1,1.53,1.62,1.44,1.69,1.44,11.17,6.11,5.9,8.28,6.97,6.99,8.26,4.48,12.43,7.1,11.54
h_1,1.55,2.75,1.88,1.89,1.36,1.84,15.3,9.69,8.87,7.15,8.44,9.79,9.93,7.92,9.3,15.57
g_1,1.82,1.6,2.68,1.98,1.44,1.61,6.11,17.7,8.82,9.5,8.51,14.08,7.64,13.63,10.98,9.63
c_0,1.78,2.19,2.2,1.32,1.62,1.42,7.15,7.54,16.9,8.31,16.7,12.1,10.59,15.11,11.13,15.42
d_0,1.94,1.67,1.04,4.19,1.83,1.38,6.37,7.17,5.79,16.86,8.45,9.73,8.59,14.4,9.96,14.08
b_0,1.84,2.07,2.12,1.99,1.02,1.23,8.35,7.81,8.16,8.26,18.21,9.44,23.22,17.17,10.95,16.7
f_0,1.52,1.53,2.05,1.89,1.82,1.82,7.85,7.1,9.75,9.66,11.96,19.17,11.32,16.47,24.07,17.47
a_0,1.81,2.11,2.1,1.85,1.87,1.17,7.46,7.13,10.24,7.26,9.05,10.77,22.32,16.93,11.29,11.9
h_0,1.62,2.77,2.18,1.9,1.8,1.35,4.75,8.41,8.57,8.53,8.32,8.47,10.1,8.38,11.07,16.54
e_0,1.01,2.73,1.87,1.87,2.01,2.34,7.82,6.27,9.07,7.74,9.42,7.89,9.54,17.54,28.18,17.65
g_0,1.43,1.75,3.04,1.81,1.99,1.29,7.0,5.25,9.89,6.51,9.86,15.27,12.61,14.45,8.93,9.49
