,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,2.37,0.69,1.47,0.84,0.69,0.54,1.5,1.2,1.73,1.43,0.95,1.37,2.01,1.9,1.44,0.85
d_1,0.94,2.4,0.83,0.65,0.77,0.55,1.45,1.52,1.19,3.03,1.77,2.16,2.41,2.08,1.51,1.45
e_1,0.91,0.69,2.38,0.94,0.76,0.68,1.52,1.34,2.9,1.6,1.65,1.76,2.28,1.89,1.42,0.93
c_1,0.84,0.83,0.72,2.45,1.48,0.51,1.54,1.19,1.5,0.84,1.5,1.23,2.13,1.93,1.22,1.29
b_1,0.86,0.8,0.79,0.85,2.56,1.28,1.63,1.34,1.57,1.49,1.65,0.99,1.86,2.05,0.89,1.5
a_1,0.9,0.97,0.78,0.93,0.66,3.13,1.43,1.59,1.73,1.69,1.92,1.79,2.21,1.95,0.8,1.47
h_1,1.24,0.9,0.81,1.04,0.79,0.63,3.29,1.77,1.88,1.65,1.65,1.85,1.57,2.88,1.44,1.8
g_1,0.77,1.45,0.82,0.91,0.78,0.7,1.45,3.5,1.51,1.98,2.62,1.94,2.26,1.56,1.25,1.73
d_0,0.91,0.72,0.85,1.66,0.91,0.59,1.69,1.47,3.02,1.25,1.45,1.69,2.03,2.19,1.71,1.45
c_0,0.95,1.03,0.82,0.71,0.73,0.77,1.78,1.81,2.12,3.18,2.21,3.46,2.49,2.41,2.11,1.96
f_0,0.66,1.16,0.75,0.96,0.93,0.77,1.88,1.85,1.8,2.13,3.29,1.98,2.61,2.2,1.73,3.3
b_0,1.07,1.14,0.82,1.05,0.6,0.63,1.73,1.49,1.95,1.74,1.96,3.22,2.88,2.39,3.25,1.79
h_0,1.32,1.03,0.88,0.83,0.86,0.65,1.17,1.93,1.74,1.73,1.86,1.9,1.65,2.8,1.53,1.41
g_0,0.75,1.43,0.88,0.88,0.77,0.64,1.76,1.41,1.65,2.02,2.74,1.93,2.06,1.7,1.76,1.76
a_0,0.97,1.18,0.89,0.93,0.8,0.47,2.01,1.65,2.12,1.72,2.11,1.72,2.64,2.55,3.53,1.43
e_0,0.94,1.18,0.43,1.12,0.94,0.78,2.08,1.75,1.74,1.87,1.96,2.06,2.63,2.74,1.68,3.59
