,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.05,1.92,1.49,1.91,1.54,1.42,0.51,0.61,0.47,0.55,0.45,0.51,0.41,0.29,0.36,0.41
e_1,1.23,1.05,1.75,1.85,2.02,1.52,0.72,0.72,0.56,0.62,0.54,0.58,0.53,0.43,0.72,0.44
d_1,1.89,2.16,1.05,1.72,1.61,1.45,0.58,0.49,0.56,0.72,0.51,0.47,0.44,0.37,0.41,0.25
c_1,1.85,1.6,2.04,1.05,2.07,1.41,0.7,0.58,0.62,0.36,0.49,0.47,0.48,0.41,0.41,0.41
b_1,2.24,1.83,2.15,1.24,1.06,2.08,0.77,0.81,0.82,0.57,0.81,0.51,0.47,0.57,0.62,0.45
a_1,2.72,2.66,2.64,2.84,1.61,1.07,1.19,1.04,0.84,0.93,0.99,0.79,1.01,0.57,0.73,0.6
h_1,5.78,4.63,4.92,5.47,4.87,3.81,1.28,2.2,1.39,1.38,1.47,1.31,1.13,1.34,1.24,1.08
g_1,6.23,5.69,5.66,6.77,5.21,4.62,1.66,1.27,1.54,1.55,1.53,1.51,1.33,0.92,1.46,1.22
c_0,6.9,6.17,3.94,8.45,4.95,4.32,2.13,2.41,1.37,2.36,2.09,1.51,1.59,1.35,1.78,1.2
d_0,5.7,3.89,7.39,6.98,5.94,5.14,2.33,2.76,1.65,1.43,1.84,1.62,1.58,1.45,1.47,1.59
b_0,6.67,5.99,5.59,9.09,6.81,5.17,2.32,2.32,1.25,1.98,1.4,1.83,1.95,1.44,1.77,1.23
f_0,9.28,6.78,6.63,8.7,6.75,5.87,2.92,1.96,2.2,2.42,1.84,1.5,1.87,1.83,2.23,1.22
a_0,9.07,7.97,7.56,8.81,9.68,7.38,3.4,2.9,2.05,2.49,1.47,2.27,1.52,2.14,2.07,1.8
h_0,9.57,8.28,7.99,8.75,6.73,6.31,3.34,3.19,2.47,2.57,2.23,1.96,1.83,2.23,2.09,1.96
e_0,13.72,9.32,8.52,9.8,7.94,6.57,3.55,2.92,2.56,3.26,2.53,1.43,2.14,1.73,1.48,1.66
g_0,9.4,8.86,10.39,9.25,8.86,7.02,2.81,4.09,2.77,2.71,2.67,3.03,2.54,1.7,2.29,2.37
