,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,2.2,0.23,0.18,0.27,0.22,0.16,0.4,0.96,0.34,0.41,0.54,0.43,0.34,0.55,0.08,0.56
f_1,0.43,2.26,0.23,0.2,0.19,0.12,0.37,0.38,0.33,0.53,0.42,0.08,0.41,0.58,0.25,0.43
d_1,0.24,0.21,2.35,0.19,0.19,0.15,0.48,0.11,0.35,0.94,0.48,0.44,0.39,0.61,0.52,0.54
c_1,0.2,0.23,0.21,2.38,0.36,0.22,0.38,0.49,0.3,0.08,0.38,0.38,0.37,0.58,0.39,0.64
b_1,0.19,0.24,0.28,0.23,2.56,0.29,0.39,0.5,0.38,0.37,0.04,0.45,0.3,0.56,0.43,0.33
a_1,0.26,0.25,0.18,0.26,0.2,3.11,0.45,0.36,0.35,0.48,0.5,0.48,0.06,0.45,0.41,0.39
h_1,0.41,0.63,0.37,0.32,0.33,0.26,2.78,0.64,0.66,0.63,0.68,0.68,0.67,0.31,0.62,0.9
d_0,0.45,0.41,0.13,0.76,0.33,0.28,0.71,2.25,0.71,0.6,0.96,0.76,0.63,1.06,0.55,0.84
g_1,0.39,0.33,0.6,0.4,0.28,0.2,0.74,0.78,3.17,0.91,0.78,1.2,0.74,1.12,0.75,0.41
c_0,0.42,0.5,0.5,0.17,0.23,0.27,0.94,0.84,0.73,2.31,1.6,1.0,0.75,1.09,0.71,1.06
b_0,0.42,0.57,0.39,0.4,,0.27,0.97,0.91,0.75,0.72,2.44,0.96,1.27,0.94,0.62,0.82
f_0,0.27,0.14,0.57,0.5,0.33,0.27,0.87,0.98,0.79,0.91,0.84,2.62,0.97,1.15,1.55,1.15
a_0,0.53,0.45,0.44,0.38,0.35,,0.78,0.71,0.7,0.86,0.51,0.84,2.92,1.05,0.57,0.61
h_0,0.43,0.58,0.4,0.36,0.27,0.27,0.33,0.81,0.86,0.74,0.76,0.81,0.67,0.29,0.63,1.31
e_0,0.09,0.44,0.54,0.36,0.42,0.39,0.72,0.84,0.82,0.84,0.99,0.81,0.61,1.16,2.76,1.01
g_0,0.38,0.38,0.66,0.36,0.42,0.24,0.62,0.55,0.24,0.64,0.75,1.29,0.55,0.87,0.64,0.36
