,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,1.0,0.82,0.82,0.9,0.92,0.76,0.51,0.44,0.62,0.36,0.47,0.34,0.29,0.34,,0.22
f_1,1.22,1.0,1.01,0.85,0.88,0.55,0.47,0.47,0.39,0.42,,0.4,0.3,0.32,0.28,0.35
d_1,1.23,0.99,1.0,0.84,1.22,0.68,0.51,0.4,,0.63,0.41,0.39,0.41,0.27,0.35,0.23
c_1,1.1,1.17,1.19,1.0,1.35,0.65,0.43,0.57,0.32,,0.42,0.39,0.37,0.47,0.48,0.37
b_1,1.09,1.14,0.82,0.74,1.0,1.03,0.63,0.62,0.45,0.54,0.61,,0.45,0.37,0.34,0.37
a_1,1.31,1.83,1.46,1.54,0.97,1.0,0.66,,0.61,0.64,,0.51,,,,0.55
h_1,1.96,2.13,1.96,2.32,1.59,1.51,1.0,1.22,0.84,0.93,0.64,0.66,,0.52,0.57,0.65
g_1,2.3,2.13,2.52,1.77,1.62,,0.82,1.0,0.92,0.77,1.53,0.98,0.71,0.65,0.81,
d_0,1.62,2.56,,3.1,2.23,1.65,1.19,1.08,1.0,1.2,0.91,0.77,0.8,0.79,0.71,0.73
c_0,2.77,2.4,1.6,,1.84,1.57,1.08,1.31,0.83,1.0,1.03,1.32,0.9,1.01,0.6,0.85
f_0,2.13,,2.46,2.36,1.65,,1.57,0.65,1.1,0.97,1.0,1.2,0.84,0.92,1.41,0.94
b_0,2.96,2.49,2.57,2.57,,1.95,1.51,1.02,1.29,0.75,0.83,1.0,0.9,1.13,0.92,0.83
h_0,3.43,3.31,2.42,2.69,2.24,,,1.42,1.25,1.11,1.2,1.11,,0.77,0.73,0.97
a_0,2.91,3.14,3.66,2.11,2.68,,1.91,1.54,1.27,0.99,1.09,0.89,1.3,1.0,0.99,0.74
e_0,,3.59,2.87,2.08,2.97,,1.75,1.23,1.4,1.65,0.71,1.09,1.37,1.01,1.0,1.06
g_0,4.56,2.82,4.35,2.72,2.67,1.81,1.55,,1.38,1.18,1.07,1.21,1.03,1.36,0.95,
