,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.1,1.75,2.84,2.93,3.29,2.75,0.77,0.69,0.93,0.58,0.64,0.83,0.55,0.42,0.91,0.46
f_1,2.74,1.1,2.9,3.2,2.93,2.36,0.6,0.68,1.0,0.58,0.53,0.9,0.67,0.34,0.58,0.48
d_1,3.78,3.39,1.09,3.37,3.03,3.17,0.94,1.14,0.58,0.61,0.71,0.54,0.66,0.41,0.52,0.29
c_1,2.8,3.52,4.47,1.11,3.09,3.02,1.01,0.39,0.95,0.92,0.65,0.62,0.65,0.48,0.62,0.48
b_1,3.79,4.9,4.58,2.14,1.12,3.71,1.23,0.82,1.16,1.23,1.18,0.75,0.82,0.64,0.76,0.53
a_1,5.85,6.54,6.49,5.68,2.95,1.13,2.13,1.25,1.96,1.4,1.58,1.17,1.63,1.11,0.95,1.07
h_1,10.54,11.77,10.01,11.04,11.08,10.12,1.59,2.47,3.0,2.24,1.96,2.06,2.06,2.16,2.03,1.57
d_0,8.73,14.98,23.52,15.91,15.54,16.72,4.93,2.01,4.85,3.05,2.92,2.78,3.33,2.41,3.59,2.61
g_1,13.47,15.96,14.13,17.18,14.41,14.52,3.57,3.18,1.66,2.91,2.58,2.93,3.75,1.51,2.84,2.76
c_0,17.08,17.34,8.71,28.69,17.5,15.1,5.26,4.83,3.96,1.99,3.09,3.14,3.25,2.17,3.08,2.31
b_0,15.18,18.88,14.01,24.53,26.5,16.87,5.53,3.56,4.51,1.92,2.09,3.06,3.85,2.65,3.0,2.71
f_0,16.28,39.39,19.0,19.12,19.32,15.35,6.2,4.13,3.53,3.67,3.83,2.16,3.59,2.74,3.67,1.75
a_0,23.76,21.83,19.11,23.98,29.91,31.22,6.83,4.83,5.51,3.83,2.38,4.39,2.18,3.23,4.48,3.56
h_0,23.76,23.08,23.52,23.98,23.58,24.64,8.51,5.09,6.44,4.7,4.62,4.43,4.62,4.05,3.67,3.18
e_0,37.5,37.36,21.42,27.0,21.08,23.12,7.06,6.39,5.46,5.7,5.05,2.54,4.67,3.78,2.5,3.09
g_0,26.38,33.87,27.79,27.46,32.73,29.73,6.29,7.58,9.56,6.1,6.07,4.97,6.5,3.08,5.19,5.25
