,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,104.91,62.13,50.23,81.42,122.21,392.21,8333.7,12485.05,13170.0,30539.87,27409.28,43668.03,95847.75,95736.14,155646.56,159673.56
f_1,48.1,110.81,86.16,99.81,105.42,270.5,7914.52,13071.65,16411.62,16818.54,20351.44,23237.76,77611.69,76629.51,175142.25,88069.76
e_1,49.61,49.0,111.9,107.85,129.24,341.57,9379.33,12326.52,26574.6,19649.02,25342.53,40366.73,82454.31,84092.72,151455.96,95949.39
c_1,44.92,42.34,41.62,175.64,158.97,244.45,7527.81,11359.35,11686.1,7281.1,14374.49,36740.58,77473.45,65914.47,114034.32,115387.16
b_1,41.53,44.13,42.53,67.0,211.35,447.83,5823.71,9190.63,12131.6,12940.79,12639.87,33252.4,63057.47,63670.81,135332.81,114385.19
a_1,29.35,32.06,29.01,58.24,53.64,503.19,5387.9,8764.74,9238.05,10045.77,15157.04,21870.87,50588.91,38130.46,101151.91,89856.91
h_1,14.08,18.54,12.25,25.59,29.83,74.12,3422.36,4411.47,4212.15,4132.54,5359.87,9047.77,19251.76,21453.72,47552.66,39495.72
g_1,15.38,11.75,10.94,21.72,27.78,61.58,1672.78,4904.4,3188.12,4113.6,5078.97,11229.49,17985.9,16525.96,21735.16,34042.57
d_0,9.0,11.82,9.8,35.42,25.33,67.18,1885.27,2989.07,4866.72,3403.52,5352.62,6733.48,18873.55,14440.5,32647.03,37379.58
c_0,10.02,13.11,10.85,18.96,22.45,69.25,2145.1,2705.92,3970.27,5099.5,8354.01,8233.52,19364.84,20435.21,30620.23,36516.28
b_0,10.55,12.8,10.18,21.96,16.92,59.03,1848.4,2473.98,2823.3,2937.73,6447.82,6743.24,18111.44,25421.62,34713.08,24589.08
f_0,9.01,8.11,8.01,14.66,19.42,58.34,1421.76,1919.11,3006.28,3237.59,4172.07,9472.92,14003.12,15916.29,24713.6,49070.21
h_0,7.3,10.14,7.78,11.52,15.22,36.05,813.46,2064.32,1926.16,2358.14,3305.1,4957.57,9590.16,10667.02,26436.54,15789.82
a_0,6.18,8.29,7.34,13.12,15.05,24.42,1166.89,1705.42,2434.42,2547.22,2852.65,4426.2,12242.04,17075.44,20965.11,16632.54
g_0,7.67,5.18,5.67,11.41,11.75,29.41,753.89,1263.57,1536.42,2121.81,2648.88,5880.29,8668.15,9210.26,14543.62,17381.89
e_0,6.31,7.42,4.99,9.96,13.6,35.45,886.49,1418.64,1555.98,1796.15,3150.06,3251.65,10878.63,9122.27,16271.81,25629.3
