,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.0,0.64,0.77,0.97,1.02,0.9,0.56,0.5,0.44,0.48,0.34,0.4,0.31,0.42,0.31,
f_1,1.57,1.0,1.06,1.01,0.98,0.68,0.37,0.46,0.35,0.36,0.39,,0.32,0.29,0.39,0.22
d_1,1.29,0.94,1.0,0.85,0.92,0.76,0.54,,0.34,0.66,0.45,0.37,0.38,0.29,0.25,0.27
c_1,1.03,0.99,1.18,1.0,1.23,0.91,0.69,0.34,0.5,,0.32,0.38,0.35,0.39,0.3,0.28
b_1,0.98,1.02,1.09,0.81,1.0,1.01,0.61,0.42,0.46,0.52,,0.46,0.33,0.37,0.39,
a_1,1.12,1.46,1.32,1.1,0.99,1.0,0.58,0.61,,0.59,0.54,0.61,0.58,,0.36,0.44
h_1,1.77,2.67,1.85,1.45,1.64,1.74,1.0,1.04,1.2,0.68,0.64,0.71,,0.69,1.03,0.74
d_0,1.99,2.17,,2.98,2.41,1.65,0.96,1.0,0.73,0.75,1.12,0.8,0.85,0.65,0.61,0.81
g_1,2.27,2.88,2.91,2.0,2.18,,0.83,1.38,1.0,1.11,1.09,1.08,0.62,0.6,,0.77
c_0,2.09,2.77,1.52,,1.91,1.69,1.46,1.34,0.9,1.0,1.25,1.0,0.98,0.67,0.75,0.63
b_0,2.93,2.56,2.21,3.13,,1.86,1.57,0.9,0.92,0.8,1.0,1.27,0.83,1.31,0.66,0.62
f_0,2.51,,2.68,2.64,2.19,1.64,1.4,1.25,0.93,1.0,0.79,1.0,1.19,0.8,0.73,
h_0,3.2,3.17,2.6,2.84,3.02,1.72,,1.18,1.62,1.02,1.21,0.84,,0.89,0.92,1.03
a_0,2.41,3.47,3.39,2.55,2.68,,1.46,1.54,1.66,1.5,0.77,1.25,1.12,1.0,,
g_0,3.22,2.56,3.93,3.32,2.57,2.78,0.97,1.65,,1.34,1.51,1.38,1.09,,,
e_0,,4.49,3.64,3.59,,2.25,1.36,1.23,1.3,1.59,1.62,,0.97,,,1.0
