,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,24.08,0.36,0.39,0.24,0.36,0.31,0.66,1.48,0.93,0.71,1.05,0.87,0.9,0.74,0.2,0.88
f_1,0.67,24.22,0.31,0.39,0.28,0.35,0.69,0.71,0.73,0.6,0.76,0.14,0.82,0.79,0.79,0.71
c_1,0.3,0.36,26.2,0.33,0.73,0.34,0.7,0.76,0.11,0.66,0.5,0.86,0.97,0.79,0.77,0.84
d_1,0.28,0.35,0.23,28.4,0.37,0.26,0.83,0.23,1.68,0.84,1.06,0.87,0.95,1.04,0.91,0.97
b_1,0.29,0.36,0.33,0.33,34.03,0.86,0.72,0.64,0.58,0.66,0.09,0.7,0.87,0.45,0.96,0.95
a_1,0.26,0.41,0.44,0.38,0.27,44.24,0.71,0.86,0.97,0.65,0.7,0.83,0.83,0.21,0.65,0.8
h_1,0.6,0.91,0.59,0.71,0.57,0.63,10.06,1.19,1.3,1.48,1.13,1.44,0.32,1.51,1.64,1.78
d_0,0.58,0.57,1.78,0.15,0.5,0.62,1.4,4.6,1.16,1.29,1.88,1.62,1.86,1.52,1.62,1.43
c_0,0.73,0.72,0.31,0.85,0.4,0.63,1.19,1.83,5.58,1.36,3.9,1.85,1.69,1.48,1.57,1.76
g_1,0.52,0.51,0.58,1.14,0.52,0.55,1.44,1.45,1.21,13.1,1.27,3.26,1.24,1.59,1.93,0.68
b_0,0.83,0.75,0.75,0.71,0.19,0.5,1.36,1.63,1.46,1.26,6.5,1.45,1.73,2.99,1.4,1.85
f_0,0.61,0.18,0.92,0.56,0.79,0.83,1.97,1.67,1.64,1.61,1.43,6.86,1.72,1.79,3.36,1.85
h_0,0.47,1.01,0.68,0.84,0.67,0.42,0.51,1.61,1.38,1.82,1.43,1.29,0.48,1.42,1.34,2.05
a_0,0.79,0.61,0.65,0.7,0.51,0.23,1.77,1.64,1.57,1.64,1.52,1.87,2.11,8.82,1.68,1.62
e_0,0.27,0.73,0.61,0.78,0.66,0.59,1.45,2.03,1.62,2.22,1.95,1.89,1.64,2.21,9.34,1.49
g_0,0.56,0.49,0.65,1.5,0.58,0.47,1.19,1.12,0.93,0.48,1.31,2.13,1.9,1.13,1.66,0.69
