,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.76,1.44,1.49,2.34,4.41,23.27,38.03,39.76,55.58,63.94,83.79,109.36,114.27,115.94,172.55
f_1,1.31,1.0,1.43,1.45,1.81,3.65,18.27,29.18,33.68,50.59,56.43,53.79,82.18,117.34,95.12,153.84
c_1,0.69,0.7,1.0,1.65,1.93,2.95,17.63,14.49,23.63,33.3,41.9,49.57,62.59,64.84,102.63,107.18
d_1,0.67,0.69,0.61,1.0,1.2,2.76,15.12,22.84,32.11,46.15,34.94,48.42,61.62,64.14,72.31,81.22
b_1,0.43,0.55,0.52,0.84,1.0,3.11,13.68,19.25,20.31,33.8,28.02,43.57,58.4,50.82,53.32,66.34
a_1,0.23,0.27,0.34,0.36,0.32,1.0,6.11,9.79,13.85,17.67,15.32,16.64,26.66,25.48,30.54,35.23
h_1,0.04,0.05,0.06,0.07,0.07,0.16,1.0,1.06,1.52,2.15,2.7,3.01,2.84,3.42,4.91,6.77
d_0,0.03,0.04,0.07,0.04,0.05,0.1,0.89,1.0,1.27,1.92,2.24,1.95,3.49,3.07,4.75,5.57
c_0,0.03,0.03,0.04,0.03,0.05,0.08,0.66,0.74,1.0,1.67,1.34,1.83,2.31,2.34,2.53,2.95
b_0,0.02,0.02,0.03,0.02,0.03,0.06,0.45,0.5,0.63,1.0,1.0,1.08,1.65,2.28,1.73,2.95
g_1,0.02,0.02,0.03,0.03,0.03,0.06,0.37,0.45,0.71,0.99,1.0,1.26,1.36,1.51,1.61,3.0
f_0,0.01,0.02,0.02,0.02,0.02,0.06,0.33,0.51,0.56,0.9,0.84,1.0,1.46,1.3,2.07,1.72
h_0,0.01,0.01,0.02,0.02,0.02,0.04,0.34,0.28,0.44,0.61,0.76,0.65,1.0,1.08,1.03,1.69
a_0,0.01,0.01,0.02,0.02,0.02,0.04,0.32,0.34,0.37,0.43,0.66,0.83,0.89,1.0,1.15,1.54
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.2,0.23,0.38,0.63,0.67,0.48,1.03,0.89,1.0,1.43
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.15,0.19,0.32,0.34,,0.58,0.58,0.63,0.77,1.0
