,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,2.31,1.71,1.12,0.91,0.87,0.74,1.83,2.4,1.54,1.93,1.93,1.33,2.5,1.34,1.89,1.94
e_1,1.28,2.32,1.26,0.79,0.92,0.77,1.97,3.68,1.85,2.05,2.18,2.05,2.8,1.38,1.83,2.26
c_1,1.11,1.03,2.45,1.05,1.67,0.95,1.81,1.96,1.65,1.22,1.43,1.83,2.17,1.71,1.52,2.27
d_1,1.17,1.12,0.85,2.62,0.88,0.72,2.18,1.57,1.78,3.86,2.49,2.09,2.71,1.91,2.0,2.49
b_1,1.08,1.02,1.05,1.0,2.64,1.71,1.78,2.03,1.49,2.08,1.47,1.94,2.74,2.0,1.3,2.46
a_1,1.24,1.04,1.06,1.02,0.98,3.07,2.03,2.16,1.77,1.94,2.26,2.18,3.22,2.04,1.56,2.87
h_1,1.47,1.16,1.19,1.07,1.05,0.86,3.48,2.15,2.29,2.22,2.0,2.2,2.0,2.25,1.88,3.08
d_0,1.3,1.09,1.87,0.76,1.15,0.79,2.13,3.24,1.95,1.58,1.95,1.83,2.81,2.1,1.96,2.46
g_1,1.17,0.95,1.1,1.65,1.12,0.87,2.07,1.89,3.79,2.4,2.06,3.1,2.69,2.34,1.83,2.16
c_0,1.39,1.25,1.04,1.14,0.79,0.94,2.14,2.33,2.05,3.33,4.06,2.38,2.77,1.9,2.65,2.55
b_0,1.42,1.3,1.23,1.08,0.86,0.7,2.25,2.45,2.03,2.32,3.51,2.15,2.84,2.06,3.92,2.67
f_0,1.03,0.9,1.39,1.16,1.13,1.0,2.19,2.5,2.08,2.24,2.33,3.64,3.08,3.98,1.66,2.85
h_0,1.52,1.22,1.28,1.04,1.18,0.79,1.78,2.19,2.3,2.18,2.3,1.99,2.01,2.15,1.59,3.13
e_0,1.35,0.88,1.41,1.05,1.19,1.05,2.43,1.93,1.92,2.17,2.05,2.22,2.88,3.81,1.94,2.98
a_0,1.43,1.22,1.26,0.99,1.07,0.71,2.24,2.57,2.36,2.07,2.29,2.17,3.26,2.17,3.8,2.75
g_0,1.04,1.06,1.24,1.45,1.16,0.93,2.18,2.17,1.75,2.32,2.21,3.26,2.7,2.55,1.78,2.38
