,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,103.73,57.9,74.31,130.61,174.05,321.58,10406.77,21012.63,38406.76,22191.85,41533.98,42010.11,105668.63,109249.19,217280.89,175925.76
f_1,90.1,106.05,75.09,97.47,148.87,317.29,8682.05,19680.81,25365.04,24070.75,28776.08,38372.04,89616.68,94800.66,162580.78,150674.88
d_1,58.46,64.29,130.29,86.44,141.18,300.82,9791.03,16230.82,18057.53,34181.42,35480.31,40220.77,100675.36,119745.15,155444.17,144981.72
c_1,45.36,58.84,68.71,153.04,243.45,309.53,8774.24,16604.08,17605.06,14073.84,29011.04,25007.67,88846.48,94239.37,145537.95,137776.82
b_1,42.63,45.63,62.24,59.83,234.37,428.94,8237.96,15359.92,16445.66,18296.89,25895.66,19697.24,71475.26,106760.03,128957.73,102587.08
a_1,36.59,40.09,55.29,55.98,80.78,427.85,6202.05,12561.57,13615.68,14313.19,21466.31,22694.29,64310.73,65618.6,103498.25,70872.5
h_1,14.87,19.53,19.69,24.13,34.25,80.76,3461.11,6475.46,5856.78,6000.35,8001.86,8984.36,21384.35,31707.73,47940.03,34481.16
g_1,11.85,11.72,20.79,18.99,25.61,66.26,1797.99,6017.13,4459.3,4907.98,9356.56,7472.9,14944.41,24726.97,32312.93,32051.01
d_0,10.33,12.83,11.95,30.99,36.3,63.49,1781.73,3658.91,5794.31,3156.1,7079.66,6729.35,18648.71,23918.03,35831.79,29586.83
c_0,12.34,12.5,15.84,17.29,25.63,68.14,1853.36,3945.57,5336.08,5969.33,7559.78,12256.78,18428.19,24977.9,31751.84,39967.13
f_0,8.76,9.83,13.3,19.65,30.88,54.86,1786.48,2869.52,4305.24,3984.81,8206.01,7013.39,16797.42,35539.93,29177.8,25979.38
b_0,9.74,10.42,14.39,19.16,25.61,47.01,1633.63,3559.23,4349.49,3507.21,6315.48,8744.33,17753.14,22968.56,27505.99,50670.77
h_0,7.52,9.51,11.08,12.86,20.35,41.6,1015.76,3135.89,3177.0,2976.5,4386.26,4830.74,10926.66,14367.64,29535.94,20952.48
e_0,5.16,9.14,9.02,12.55,17.81,41.0,1212.45,2484.12,2259.37,2517.99,3513.79,4333.75,11942.22,20728.0,18265.0,16824.39
g_0,5.55,6.31,11.39,10.84,17.88,36.02,1061.05,1710.72,2285.12,2651.68,5207.15,4012.39,9344.75,16144.32,17988.89,17211.66
a_0,5.82,7.04,9.81,10.8,18.65,28.31,1123.78,2013.16,2619.46,1909.2,3993.52,3207.71,10069.45,13412.12,18490.68,25524.22
