,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,22.4,0.33,0.25,0.43,0.34,0.41,0.65,0.59,1.91,0.8,0.8,0.76,0.95,0.69,0.25,0.75
f_1,0.6,23.76,0.28,0.32,0.35,0.31,0.68,0.55,0.83,0.77,1.0,0.2,0.89,0.73,0.5,1.13
d_1,0.37,0.34,28.16,0.23,0.28,0.35,0.79,0.65,0.14,1.92,0.95,0.89,0.86,0.9,0.97,0.84
c_1,0.35,0.32,0.34,28.06,0.7,0.23,0.8,0.62,0.6,0.11,0.67,0.94,0.7,0.84,0.95,0.76
b_1,0.31,0.32,0.39,0.45,30.66,0.68,0.63,0.75,0.71,0.54,0.16,0.81,0.77,0.51,0.9,0.74
a_1,0.27,0.37,0.43,0.31,0.28,50.64,0.79,0.76,0.71,0.87,0.57,1.14,1.07,0.17,0.73,1.08
h_1,0.51,0.98,0.67,0.66,0.53,0.65,9.55,1.68,1.04,1.35,1.38,1.54,0.47,1.44,1.4,1.82
g_1,0.46,0.58,1.29,0.67,0.43,0.61,1.35,12.54,1.07,1.18,1.22,2.26,1.37,1.45,1.48,0.49
d_0,0.5,0.66,0.2,1.55,0.77,0.69,1.68,1.61,5.42,1.07,1.57,1.28,1.67,1.56,1.36,1.35
c_0,0.62,0.89,0.78,0.22,0.45,0.55,1.72,1.64,1.57,5.46,3.12,1.47,2.02,1.9,2.46,1.48
b_0,0.68,0.72,0.81,0.64,0.32,0.49,1.45,1.94,1.45,1.37,6.74,1.3,1.75,4.69,1.58,1.62
f_0,0.5,0.24,0.95,0.65,0.84,0.68,1.29,1.82,1.26,1.49,2.02,7.55,2.23,1.22,3.51,1.73
h_0,0.54,1.1,0.5,0.66,0.7,0.5,0.46,1.98,1.49,1.31,1.38,1.27,0.63,1.23,1.51,2.23
a_0,0.61,0.64,0.96,0.66,0.55,0.38,1.21,1.8,0.93,1.67,1.42,1.37,2.05,9.19,1.68,1.79
e_0,0.26,0.91,0.68,0.61,0.63,0.87,1.52,1.32,1.29,1.77,1.91,1.23,2.46,1.35,9.06,1.47
g_0,0.7,0.44,1.02,0.7,0.69,0.61,1.16,0.76,1.31,1.11,1.28,2.33,1.32,1.8,1.62,0.7
