,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,0.68,6.43,4.84,4.93,5.12,5.97,2.82,2.81,1.76,,2.49,1.85,1.48,1.95,1.03,1.94
f_1,5.82,0.67,6.54,5.3,6.2,4.49,2.26,2.38,3.21,2.22,1.97,,1.3,2.07,1.36,1.71
e_1,7.17,3.74,0.66,5.54,6.01,6.32,2.44,2.26,2.48,2.04,2.01,2.76,1.54,2.4,1.99,
c_1,7.02,7.37,6.62,0.63,7.91,5.82,1.99,,2.27,1.43,1.9,1.92,2.27,2.66,1.66,2.93
b_1,6.61,6.21,6.13,3.69,0.62,,3.45,2.57,2.91,1.94,,2.8,2.24,1.87,2.07,1.66
a_1,6.96,7.35,6.59,7.14,,0.57,3.72,3.01,3.14,2.79,3.03,3.12,2.38,,2.45,
h_1,4.1,4.99,5.75,7.22,4.45,4.97,0.61,1.74,2.33,1.86,1.74,1.92,,1.43,1.76,1.22
c_0,2.75,5.05,5.12,,4.25,4.11,2.0,0.72,2.11,1.93,2.15,1.46,1.76,1.89,1.37,1.75
g_1,6.54,5.4,7.26,5.58,6.06,4.93,1.83,2.22,0.58,1.65,1.82,1.85,1.59,2.17,,1.39
d_0,,4.16,3.36,5.44,5.22,5.05,2.1,1.57,3.63,0.69,2.74,1.4,1.35,1.71,1.26,1.48
b_0,4.99,4.81,5.47,6.53,,3.57,2.47,1.17,2.19,1.49,0.69,2.3,1.49,3.1,1.52,1.62
f_0,5.91,,4.45,7.29,4.1,4.53,2.51,2.0,1.56,2.24,1.64,0.68,1.43,1.78,1.2,2.32
h_0,4.84,4.86,4.72,3.65,3.82,4.2,,1.6,1.85,1.65,1.57,1.98,,1.24,1.43,1.61
a_0,5.98,6.83,6.6,6.2,6.93,,2.52,1.79,2.35,3.11,1.12,2.53,1.55,0.63,2.18,1.96
g_0,6.73,7.44,5.48,4.59,4.59,4.07,1.65,1.62,,2.58,1.64,1.62,0.98,1.21,,2.06
e_0,5.98,6.36,,4.51,8.2,,3.58,2.3,3.0,2.85,2.18,1.08,1.69,1.78,1.44,0.64
