,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,10087.34,165.77,214.07,260.89,384.6,1615.49,220805.68,339969.05,958859.71,646325.41,1798834.48,1667829.8,5284331.63,10002624.12,6527405.72,
f_1,268.87,11517.35,174.75,227.74,352.28,1501.09,151177.84,488806.04,593743.9,1155458.82,1847397.51,,5577742.2,9844636.67,4915992.17,10759272.15
d_1,162.1,136.88,17556.02,204.02,348.37,1375.06,146178.75,349417.78,,1818503.63,1883997.29,1996331.89,6067462.22,11174593.71,12639808.35,9239940.92
c_1,131.31,150.02,260.24,20876.68,552.92,1957.07,198593.64,503209.59,554401.81,,1105069.8,1584240.44,6619904.64,11566807.59,10064191.83,7013784.05
b_1,120.12,173.82,209.02,264.93,33223.22,2636.51,145330.19,397016.49,572766.32,1033112.74,,1663403.89,8011933.84,12696829.38,7180819.91,9098814.89
a_1,155.35,157.0,124.77,284.16,413.49,246122.97,178148.32,463670.31,694475.48,634823.38,1384273.78,1579643.72,4726872.62,15000085.07,,
h_1,476.15,785.76,828.58,738.42,1481.93,5483.75,7544194.08,1710662.44,2069464.09,2810536.26,7307126.3,8991660.32,,64661849.98,38318838.56,46241704.35
g_1,420.49,614.91,1287.83,973.81,997.69,5332.72,763141.02,25089715.72,1879777.46,2680569.26,4796025.46,11116856.85,18785340.78,,34806542.04,44103359.64
d_0,643.8,832.3,,1821.67,2344.9,8677.09,768695.18,1679951.85,17495556.7,3857255.0,9661862.07,8318340.13,36267283.34,71634513.38,49083810.67,44424344.79
c_0,753.35,580.96,1048.76,,1179.22,7808.58,1025424.44,2841877.19,2946809.71,29872505.11,17117853.02,11025372.77,19281824.98,84609575.42,46769178.82,
b_0,536.16,893.31,894.14,1570.59,,8172.69,1013615.33,2118901.14,3295708.1,3729913.76,66488470.09,8859345.42,30149089.79,70843921.34,70886874.37,54673493.05
f_0,745.81,,1219.18,1401.96,1564.02,8819.1,615254.66,2435894.73,1919636.04,4287919.39,7652687.23,71273700.12,34707284.96,77641728.03,49887124.08,
h_0,920.31,1762.69,1460.18,1623.12,3032.78,12542.86,,3267497.86,5445234.42,5135531.37,12542164.27,13289999.23,,118025149.19,74685665.41,108829313.49
g_0,900.46,952.54,3366.01,1586.08,2967.35,15453.95,951130.49,,3578148.31,4555760.78,13670046.79,22042592.95,35695735.9,,,75788695.95
a_0,470.95,538.05,1170.76,1669.39,1441.11,,741336.99,1595299.84,3007643.93,7403477.01,11990063.66,6987738.59,43832461.82,,496573333.16,
e_0,,765.61,736.51,1385.68,1627.22,,823002.99,2432942.13,2995795.64,,6914270.04,,26261526.91,79225329.71,,696708345.54
