,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,1.0,0.76,0.93,1.21,0.95,0.77,0.75,0.66,0.6,0.92,0.72,0.71,0.64,0.71,0.68,0.63
f_1,1.31,1.0,0.88,0.89,0.86,0.82,0.55,0.68,0.64,0.62,0.55,0.65,0.54,0.48,0.59,0.49
d_1,1.09,1.13,1.0,0.95,0.93,0.79,0.73,0.53,0.82,0.68,0.64,0.63,0.6,0.56,0.46,0.48
c_1,0.82,1.14,1.05,1.0,1.36,0.9,0.72,0.7,0.57,0.47,0.56,0.55,0.61,0.51,0.57,0.57
b_1,1.05,1.16,1.07,0.74,1.0,1.31,0.89,0.88,0.76,0.67,0.7,0.59,0.66,0.7,0.62,0.62
a_1,1.31,1.21,1.26,1.11,0.76,1.0,0.9,0.75,0.77,0.7,0.77,0.79,0.7,0.63,0.69,0.64
h_1,1.34,1.79,1.39,1.39,1.13,1.13,1.0,1.1,0.92,1.03,0.84,0.86,0.87,0.85,0.85,0.68
g_1,1.48,1.44,1.83,1.49,1.17,1.29,0.91,1.0,0.96,0.91,1.23,0.94,0.7,0.87,0.88,0.87
c_0,1.66,1.52,1.26,1.64,1.29,1.34,1.08,1.03,1.0,1.25,1.08,1.33,0.92,0.91,0.88,1.13
d_0,1.12,1.62,1.43,2.12,1.52,1.34,0.95,1.07,0.8,1.0,0.93,0.92,0.89,0.92,0.98,0.9
f_0,1.37,1.72,1.57,1.76,1.52,1.25,1.2,0.79,0.92,1.09,1.0,1.05,0.94,1.29,0.73,0.87
b_0,1.44,1.58,1.63,1.82,1.69,1.22,1.14,1.09,0.76,1.11,0.99,1.0,0.97,0.98,0.96,1.36
h_0,1.59,1.87,1.64,1.61,1.52,1.34,1.18,1.43,1.09,1.12,1.02,1.05,1.0,0.82,1.14,0.93
e_0,1.5,2.2,1.75,1.92,1.33,1.64,1.15,1.15,1.01,1.07,0.78,1.04,1.21,1.0,0.82,0.96
g_0,1.49,1.7,2.19,1.74,1.55,1.46,1.21,1.13,1.11,1.07,1.37,1.03,0.87,1.14,1.0,0.98
a_0,1.61,1.98,1.99,1.77,1.75,1.65,1.45,1.12,0.9,1.24,1.17,0.73,1.05,1.06,1.05,1.0
