,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.91,0.24,0.31,0.38,0.28,0.2,0.29,0.23,0.54,0.29,0.3,0.25,0.26,0.19,0.13,0.2
d_1,0.31,0.91,0.35,0.24,0.26,0.2,0.3,0.26,0.17,0.5,0.32,0.26,0.23,0.22,0.17,0.23
f_1,0.55,0.27,0.9,0.29,0.25,0.17,0.21,0.22,0.28,0.29,0.27,0.18,0.29,0.18,0.13,0.23
c_1,0.3,0.33,0.34,0.9,0.5,0.14,0.24,0.24,0.26,0.16,0.17,0.18,0.28,0.18,0.15,0.19
b_1,0.3,0.31,0.32,0.29,0.89,0.38,0.32,0.26,0.28,0.26,0.14,0.21,0.24,0.12,0.14,0.2
a_1,0.31,0.37,0.33,0.31,0.27,0.88,0.28,0.31,0.27,0.31,0.31,0.28,0.28,0.12,0.17,0.22
h_1,0.32,0.35,0.49,0.33,0.25,0.21,0.61,0.39,0.3,0.32,0.32,0.26,0.24,0.19,0.17,0.3
g_1,0.3,0.54,0.33,0.31,0.27,0.18,0.28,0.61,0.25,0.35,0.29,0.4,0.29,0.19,0.2,0.16
d_0,0.32,0.27,0.37,0.62,0.3,0.17,0.31,0.29,0.5,0.24,0.29,0.26,0.31,0.19,0.19,0.22
c_0,0.34,0.39,0.38,0.25,0.24,0.22,0.33,0.3,0.29,0.51,0.59,0.34,0.32,0.25,0.22,0.24
b_0,0.29,0.39,0.37,0.35,0.24,0.2,0.3,0.33,0.3,0.3,0.52,0.34,0.3,0.42,0.22,0.24
f_0,0.28,0.4,0.32,0.38,0.27,0.2,0.35,0.34,0.34,0.31,0.29,0.5,0.35,0.21,0.43,0.24
h_0,0.32,0.41,0.52,0.34,0.28,0.16,0.21,0.35,0.32,0.29,0.31,0.25,0.22,0.22,0.2,0.31
a_0,0.36,0.35,0.38,0.35,0.31,0.14,0.35,0.35,0.29,0.31,0.34,0.35,0.33,0.43,0.21,0.24
e_0,0.25,0.45,0.43,0.35,0.27,0.16,0.34,0.28,0.33,0.34,0.33,0.28,0.38,0.23,0.43,0.27
g_0,0.3,0.51,0.35,0.33,0.27,0.21,0.29,0.24,0.3,0.31,0.31,0.41,0.33,0.24,0.24,0.19
