,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,0.45,1.12,1.92,2.2,2.14,2.0,0.62,0.5,0.65,0.34,0.42,0.45,0.49,0.3,0.31,1.14
f_1,1.77,0.45,1.67,1.89,2.16,1.84,0.42,0.41,0.74,0.38,0.34,0.9,0.39,0.19,0.33,0.29
d_1,2.6,2.29,0.42,1.94,1.79,1.87,0.52,1.09,0.36,0.42,0.41,0.38,0.36,0.28,0.19,0.36
c_1,1.71,2.14,2.9,0.41,2.34,1.97,0.65,0.22,0.6,1.0,0.41,0.39,0.37,0.33,0.28,0.36
b_1,3.02,2.6,2.47,1.3,0.36,2.95,0.68,0.48,0.8,0.55,1.82,0.59,0.51,0.53,0.42,0.5
a_1,2.51,3.48,2.8,3.35,1.34,0.32,0.89,0.6,0.88,0.54,0.86,0.63,1.96,0.36,0.51,0.57
h_1,3.4,2.95,2.96,3.15,3.36,3.07,0.34,0.74,0.89,0.64,0.66,0.64,0.64,0.78,0.44,0.63
d_0,1.86,4.29,7.4,4.04,5.1,3.61,1.24,0.41,1.3,0.72,0.84,0.76,0.73,0.51,0.58,0.79
g_1,3.53,3.73,4.21,3.65,3.57,4.26,0.9,0.77,0.3,0.93,0.83,0.8,0.92,0.41,1.18,0.72
c_0,4.17,3.68,2.11,9.07,5.02,3.34,1.25,1.21,1.04,0.39,0.84,0.9,0.95,0.69,0.65,0.74
b_0,3.11,5.16,3.53,4.64,10.91,3.85,1.23,0.93,1.03,0.45,0.36,0.73,0.85,0.66,0.48,0.92
f_0,3.74,10.88,3.45,4.15,3.94,3.51,1.13,0.92,0.66,0.78,0.83,0.34,0.86,0.63,0.38,0.82
a_0,4.02,4.86,3.97,5.51,6.01,9.71,1.38,1.09,1.34,1.0,0.49,0.76,0.33,0.69,0.61,0.97
h_0,3.7,4.8,4.13,5.61,4.6,3.92,2.22,1.01,1.64,0.86,1.02,1.0,0.85,1.26,0.64,0.85
g_0,4.69,5.78,4.24,6.54,5.43,3.24,1.19,1.11,1.87,0.77,0.88,0.9,1.02,0.51,1.08,0.83
e_0,8.09,8.0,4.52,4.8,4.58,4.54,1.3,1.08,1.06,1.17,0.97,0.52,1.04,0.76,0.83,0.34
