,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.48,0.92,1.03,0.9,0.84,0.85,1.11,0.9,0.82,0.97,1.27,0.9,0.98,0.96,0.77
e_1,0.68,1.0,1.07,1.06,1.11,1.17,0.88,1.04,1.5,1.15,1.09,1.12,0.91,1.05,1.08,0.91
d_1,1.08,0.94,1.0,0.96,0.99,0.91,1.11,0.89,1.08,1.27,1.06,0.99,1.05,0.96,0.73,1.02
c_1,0.97,0.94,1.05,1.0,1.25,1.1,1.04,0.94,0.69,0.92,0.81,1.09,0.95,1.11,0.97,0.9
b_1,1.11,0.9,1.01,0.8,1.0,1.27,1.25,0.98,0.91,1.11,0.85,0.92,1.12,0.73,1.23,1.17
a_1,1.19,0.85,1.1,0.91,0.79,1.0,1.14,1.08,0.97,1.05,1.06,1.12,1.27,1.34,0.86,0.94
h_1,1.26,1.12,0.9,0.94,0.84,0.82,1.0,1.08,1.05,0.94,1.0,0.83,1.01,0.93,1.5,1.09
g_1,0.9,0.89,1.11,1.04,0.99,0.91,0.94,1.0,1.03,0.97,0.88,1.24,0.81,1.09,1.04,0.93
d_0,1.17,0.63,0.93,1.48,1.02,0.98,1.01,0.96,1.0,0.86,1.01,0.87,0.92,0.85,1.0,1.18
c_0,1.4,0.89,0.78,1.08,0.9,1.02,1.02,1.04,1.04,1.0,1.43,0.81,1.18,1.16,1.25,1.1
b_0,1.12,0.9,0.95,1.34,1.04,0.93,1.04,1.12,0.93,0.69,1.0,0.89,0.98,1.28,1.06,1.1
f_0,0.74,0.91,1.05,0.92,1.07,0.94,1.16,0.76,1.14,1.25,1.05,1.0,0.99,1.0,0.96,1.44
h_0,1.15,1.07,0.96,1.08,0.87,0.8,1.0,1.25,1.1,0.85,0.97,0.96,1.0,0.95,1.17,0.93
a_0,1.08,0.88,1.07,0.88,1.26,0.86,1.05,0.9,1.2,0.82,0.79,1.05,1.07,1.0,1.06,1.14
g_0,1.01,0.89,1.33,1.07,0.85,1.07,0.65,0.94,1.03,0.78,0.97,1.0,0.86,0.9,1.0,0.93
e_0,1.3,1.0,0.98,1.11,0.88,0.85,0.9,1.13,0.87,0.87,0.96,0.67,1.12,0.9,1.04,1.0
