,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,1.0,0.79,1.31,1.29,1.82,3.0,21.0,32.58,47.21,47.28,48.41,45.81,66.53,94.93,,130.57
f_1,1.27,1.0,1.0,1.68,1.5,3.3,15.83,18.31,29.51,32.65,,38.39,64.78,53.41,63.31,124.09
d_1,0.77,1.0,1.0,1.25,1.66,3.99,19.6,20.75,34.86,,35.1,36.11,60.26,65.21,111.49,82.15
c_1,0.78,0.59,0.8,1.0,1.75,2.47,13.96,12.67,,16.29,32.43,30.02,50.27,54.99,60.94,73.02
b_1,0.55,0.67,0.6,0.57,1.0,2.43,11.99,11.84,19.71,19.46,32.11,,42.42,49.25,39.03,69.18
a_1,0.33,0.3,0.25,0.4,0.41,1.0,5.23,6.41,9.21,,12.67,11.37,,25.28,,30.8
h_1,0.05,0.06,0.05,0.07,0.08,0.19,1.0,1.78,1.69,2.11,2.61,2.64,4.29,,5.13,9.82
g_1,0.03,0.05,0.05,0.08,0.08,0.16,0.56,1.0,1.24,1.18,2.37,2.03,3.55,2.89,,
c_0,0.02,0.03,0.03,,0.05,0.11,0.59,0.8,1.0,1.08,1.26,2.22,2.68,2.39,3.26,4.04
d_0,0.02,0.03,,0.06,0.05,,0.47,0.85,0.93,1.0,1.05,1.19,2.25,2.76,2.34,3.56
f_0,0.02,,0.03,0.03,0.03,0.08,0.38,0.42,0.8,0.95,1.0,0.8,1.31,1.77,3.03,2.43
b_0,0.02,0.03,0.03,0.03,,0.09,0.38,0.49,0.45,0.84,1.25,1.0,2.36,1.62,1.47,2.73
a_0,0.02,0.02,0.02,0.02,0.02,,0.23,0.28,0.37,0.44,0.76,0.42,1.0,1.29,,1.39
h_0,0.01,0.02,0.02,0.02,0.02,0.04,,0.35,0.42,0.36,0.56,0.62,0.78,,0.87,1.37
e_0,,0.02,0.01,0.02,0.03,,0.19,,0.31,0.43,0.33,0.68,,1.15,1.0,1.27
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.1,,0.25,0.28,0.41,0.37,0.72,0.73,0.79,
