,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.5,1.19,0.7,0.74,0.6,0.49,0.76,0.79,0.79,0.8,0.85,0.53,0.84,0.46,0.68,0.81
e_1,0.72,1.52,0.74,0.86,0.63,0.6,0.91,0.86,0.76,1.43,0.95,1.06,0.92,0.65,0.77,0.9
d_1,0.81,0.7,1.53,0.62,0.77,0.6,0.86,0.68,1.46,0.54,0.92,0.88,0.89,0.83,0.69,0.78
c_1,0.8,0.69,0.79,1.59,1.21,0.59,0.83,0.82,0.5,0.73,0.73,0.76,0.85,0.7,0.67,0.79
b_1,0.93,0.72,0.84,0.55,1.6,0.93,0.86,0.8,0.87,0.88,0.6,0.89,1.02,0.73,0.64,0.79
a_1,1.01,0.68,0.88,0.83,0.66,1.79,1.11,0.83,1.13,0.92,1.03,0.83,1.05,1.03,0.69,0.93
h_1,1.31,0.92,0.99,0.98,0.94,0.71,1.76,1.18,1.0,0.98,0.98,1.14,0.92,0.81,1.02,1.55
g_1,0.89,0.88,1.43,0.92,0.93,0.81,1.13,1.83,0.99,1.0,1.17,1.62,1.11,0.95,0.97,0.87
c_0,1.18,1.21,0.9,0.88,0.75,0.75,1.23,1.22,1.64,1.41,2.12,1.3,1.41,1.17,1.2,1.21
d_0,1.08,0.91,0.83,1.71,0.94,0.68,1.26,1.18,0.77,1.64,1.11,1.08,1.28,1.17,1.01,1.23
b_0,1.09,1.06,0.99,1.22,0.8,0.71,1.36,1.22,0.97,1.29,1.67,1.21,1.49,1.14,1.99,1.27
f_0,0.85,0.79,1.22,1.2,0.99,0.81,1.16,1.01,1.29,1.25,1.29,1.7,1.5,2.04,1.14,1.08
h_0,1.36,1.22,1.15,1.24,0.79,0.77,1.0,1.48,1.3,1.22,1.19,1.15,1.05,0.88,1.1,1.42
e_0,1.55,0.86,1.12,1.06,1.03,0.89,1.5,1.18,1.23,1.04,1.28,0.86,1.69,1.82,1.24,1.32
a_0,1.19,1.02,1.23,1.14,1.05,0.59,1.37,1.28,1.43,1.18,1.08,1.27,1.5,1.19,1.76,1.54
g_0,0.98,1.07,1.61,1.14,0.94,0.84,1.01,1.1,1.36,1.11,1.41,1.75,1.48,1.25,1.15,0.96
