,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.67,0.89,1.73,1.46,1.47,1.34,0.68,0.73,0.71,0.55,0.47,0.63,0.42,0.44,0.85,0.39
f_1,1.52,0.67,1.48,1.14,1.43,1.25,0.43,0.5,0.61,0.45,0.48,0.63,0.31,0.46,0.41,0.56
c_1,1.24,1.5,0.64,1.79,1.46,1.37,0.71,0.34,0.73,0.82,0.54,0.52,0.41,0.42,0.46,0.48
d_1,1.55,1.84,1.5,0.63,1.32,1.13,0.7,1.0,0.46,0.58,0.52,0.52,0.48,0.53,0.51,0.27
b_1,1.68,1.67,0.97,1.63,0.62,1.83,0.72,0.52,0.63,0.78,0.95,0.53,0.53,0.61,0.46,0.4
a_1,1.74,2.17,1.54,1.91,1.01,0.58,0.89,0.71,0.97,0.68,0.68,0.61,0.56,0.9,0.61,0.55
h_1,1.98,2.66,2.12,1.92,2.34,1.87,0.58,0.79,0.97,0.75,0.67,0.81,0.94,0.79,0.71,0.63
d_0,1.41,2.45,2.61,3.65,2.55,2.26,1.1,0.63,0.95,1.0,0.9,0.82,0.81,0.85,0.94,0.76
g_1,2.25,2.39,2.12,2.41,2.67,1.78,0.96,1.01,0.56,0.93,0.84,0.91,0.59,0.93,0.75,0.84
c_0,2.38,2.9,3.49,1.42,2.59,1.95,1.09,1.06,0.99,0.6,1.02,0.88,0.76,0.86,0.89,0.68
b_0,2.5,2.69,3.33,2.33,3.74,1.93,1.24,1.01,1.01,0.52,0.61,0.79,0.62,1.1,0.69,0.78
f_0,2.23,4.43,2.55,2.35,2.56,2.42,1.13,0.89,0.85,0.86,0.84,0.59,0.74,0.83,0.91,0.47
h_0,2.81,3.04,2.88,2.38,2.27,2.37,1.71,0.97,1.27,0.91,1.06,1.05,1.06,0.76,0.83,0.69
a_0,3.22,2.77,3.26,2.29,3.53,3.38,1.05,1.12,1.27,0.97,0.61,0.85,0.86,0.58,0.99,0.91
e_0,3.77,3.7,3.03,2.73,3.23,3.04,1.38,0.94,1.1,0.96,1.19,0.59,0.89,0.82,0.56,0.8
g_0,3.02,2.69,3.05,3.71,3.2,2.78,1.21,1.15,1.72,1.08,0.94,1.33,0.8,1.05,1.03,1.1
