,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,1.5,0.44,0.52,0.39,0.4,0.36,0.54,0.93,0.54,0.53,0.58,0.52,0.6,0.51,0.62,0.25
f_1,0.73,1.52,0.46,0.43,0.43,0.44,0.5,0.51,0.39,0.59,0.19,0.46,0.46,0.38,0.48,0.37
c_1,0.48,0.46,1.54,0.49,0.72,0.35,0.51,0.49,0.43,0.21,0.56,0.45,0.68,0.43,0.62,0.42
d_1,0.47,0.55,0.39,1.55,0.42,0.34,0.55,0.33,0.48,0.87,0.53,0.59,0.65,0.39,0.58,0.44
b_1,0.5,0.44,0.38,0.46,1.59,0.73,0.57,0.49,0.57,0.48,0.65,0.27,0.68,0.44,0.45,0.42
a_1,0.49,0.46,0.54,0.6,0.41,1.71,0.58,0.57,0.52,0.66,0.68,0.67,0.63,0.21,0.59,0.66
h_1,0.6,0.91,0.78,0.82,0.64,0.54,1.66,0.9,0.99,0.79,0.8,0.76,0.47,0.66,0.99,0.7
d_0,0.68,0.8,1.33,0.4,0.73,0.55,0.91,1.51,0.66,0.78,0.81,0.73,0.88,0.77,0.76,0.77
g_1,0.7,0.78,0.86,1.01,0.62,0.72,0.77,0.88,1.75,0.68,1.05,0.74,0.82,0.77,0.41,0.58
c_0,0.84,0.8,0.6,0.79,0.75,0.5,1.03,1.02,0.89,1.55,0.95,1.39,0.95,0.78,0.92,0.67
f_0,0.75,0.76,0.87,0.86,0.6,0.54,1.06,1.02,0.91,0.88,1.53,1.02,1.1,0.87,0.86,1.37
b_0,0.79,0.97,0.83,0.7,0.45,0.43,1.13,1.16,0.91,0.86,0.88,1.63,1.05,1.4,0.89,0.8
h_0,0.69,1.23,0.69,0.78,0.75,0.59,0.69,1.0,1.0,0.99,0.81,0.9,0.62,0.86,1.17,0.64
a_0,0.86,1.03,0.81,0.88,0.68,0.44,1.09,1.12,0.74,0.92,1.01,0.88,1.08,1.72,0.89,0.88
g_0,0.81,0.78,0.69,1.07,0.9,0.52,0.83,1.01,0.73,0.97,1.26,0.97,0.84,0.94,0.61,1.0
e_0,0.57,0.94,0.88,0.92,0.89,0.44,1.16,1.12,1.07,1.29,0.84,0.94,1.2,1.02,0.96,1.73
