,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.07,3.48,3.38,2.88,3.07,2.76,1.05,1.24,0.96,0.96,0.89,2.11,0.56,0.84,0.74,0.7
e_1,2.31,1.07,4.17,3.45,3.58,2.18,1.29,1.82,1.07,0.94,0.94,1.18,0.68,0.84,1.52,0.73
c_1,3.46,3.13,1.07,3.91,3.73,3.73,1.37,1.29,0.69,1.56,1.03,0.84,0.72,0.91,0.97,0.73
d_1,3.59,4.19,2.99,1.07,3.54,2.52,1.2,0.91,2.11,1.13,1.19,0.96,0.92,0.94,0.97,0.52
b_1,4.3,3.72,2.73,3.58,1.07,4.56,1.44,1.4,1.36,1.56,2.29,1.11,0.98,0.88,0.9,0.95
a_1,6.3,6.72,4.81,5.55,3.12,1.07,2.44,1.99,1.52,1.33,1.62,1.32,1.39,,1.26,1.01
h_1,8.19,7.08,7.36,7.13,6.36,5.77,1.37,2.82,2.17,1.94,2.12,1.93,3.77,1.91,1.62,1.86
g_1,10.29,7.69,8.45,8.7,7.5,7.37,2.96,1.38,2.61,2.44,2.32,2.88,1.49,3.3,2.42,2.86
d_0,10.28,5.26,10.92,17.36,7.74,8.23,3.48,3.46,1.68,2.45,2.57,2.3,2.1,2.63,2.14,2.47
c_0,9.54,8.86,21.06,5.84,8.34,8.35,3.81,3.41,3.28,1.67,2.77,2.35,2.83,2.85,2.45,2.32
b_0,9.72,9.86,10.76,8.01,22.69,7.95,3.76,3.24,3.08,1.69,1.62,3.39,2.48,2.58,2.91,2.92
f_0,18.08,9.21,10.6,9.73,9.48,8.52,4.29,2.27,2.73,3.36,2.76,1.61,2.52,3.14,2.95,2.16
h_0,12.68,13.48,11.03,10.3,12.07,10.18,7.0,5.11,3.52,3.04,2.8,3.14,4.54,3.08,2.38,2.78
a_0,12.68,13.06,13.78,12.31,11.48,,4.84,3.43,3.77,3.31,2.24,3.85,2.81,1.65,3.04,2.47
e_0,18.21,23.78,11.82,13.47,11.93,10.76,5.65,3.77,3.94,3.57,3.21,2.22,4.41,5.09,1.66,3.05
g_0,14.72,12.4,14.0,17.87,12.21,14.78,3.86,6.48,3.65,3.58,3.39,3.58,2.56,3.93,3.47,4.44
