,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.22,0.46,0.2,0.2,0.2,0.14,0.39,0.29,0.41,0.47,0.5,0.07,0.61,0.27,0.26,0.39
e_1,0.27,2.24,0.19,0.24,0.19,0.19,0.41,0.29,0.9,0.48,0.44,0.42,0.54,0.42,0.09,0.5
d_1,0.26,0.2,2.38,0.19,0.19,0.15,0.43,0.33,0.13,0.94,0.55,0.46,0.64,0.37,0.44,0.54
c_1,0.22,0.21,0.22,2.4,0.4,0.14,0.39,0.46,0.5,0.08,0.32,0.39,0.63,0.33,0.34,0.44
b_1,0.21,0.22,0.23,0.24,2.52,0.32,0.44,0.32,0.5,0.43,0.14,0.46,0.6,0.34,0.35,0.4
a_1,0.25,0.21,0.27,0.23,0.16,3.11,0.44,0.37,0.53,0.44,0.43,0.43,0.58,0.11,0.4,0.45
h_1,0.58,0.39,0.38,0.35,0.31,0.22,2.84,0.81,0.71,0.97,0.77,0.87,0.38,0.57,0.75,1.17
g_1,0.35,0.23,0.68,0.42,0.42,0.18,0.73,3.14,0.59,0.71,0.82,1.23,0.85,0.61,0.65,0.29
d_0,0.48,0.35,0.14,0.74,0.38,0.32,0.72,0.61,2.16,0.52,0.69,0.92,0.87,0.86,0.6,0.96
c_0,0.5,0.45,0.45,0.17,0.28,0.28,0.75,0.84,0.86,2.28,1.67,0.76,1.17,0.96,0.72,1.02
b_0,0.44,0.48,0.51,0.37,0.11,0.26,0.63,0.75,0.79,0.81,2.51,0.75,0.89,1.81,0.6,1.07
f_0,0.15,0.31,0.48,0.54,0.36,0.28,0.88,0.7,0.95,0.86,0.82,2.58,1.1,0.91,1.45,1.34
h_0,0.59,0.34,0.44,0.33,0.39,0.31,0.26,0.78,0.7,0.59,0.71,0.82,0.41,0.54,0.66,1.22
a_0,0.48,0.38,0.34,0.39,0.42,0.14,0.77,0.61,0.9,0.74,0.95,0.72,1.02,2.69,0.88,1.02
e_0,0.44,0.18,0.38,0.46,0.42,0.32,0.92,0.87,0.77,1.09,0.86,0.99,1.12,0.76,2.97,0.94
g_0,0.38,0.36,0.6,0.41,0.29,0.24,0.59,0.38,0.69,0.76,0.91,1.34,1.14,0.65,0.78,0.44
