,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.99,0.85,1.44,1.47,3.19,20.55,21.62,37.66,27.36,35.61,47.12,81.81,81.65,110.22,135.49
d_1,1.01,1.0,1.12,1.05,1.24,2.72,18.46,16.54,24.72,32.09,31.88,38.46,67.41,84.9,91.08,107.36
f_1,1.19,0.89,1.0,1.14,1.25,2.63,14.45,19.6,25.25,24.87,28.42,37.73,65.16,79.03,84.29,123.46
c_1,0.69,0.96,0.87,1.0,1.53,2.08,15.25,16.46,15.54,19.86,20.33,27.57,60.1,62.02,76.13,98.9
b_1,0.67,0.76,0.8,0.67,1.0,2.91,15.61,15.85,19.08,20.98,20.55,29.71,55.88,48.95,71.9,90.5
a_1,0.31,0.38,0.37,0.47,0.36,1.0,6.31,8.2,9.99,9.3,12.22,15.36,30.24,30.67,39.07,43.21
h_1,0.05,0.06,0.07,0.07,0.07,0.16,1.0,1.33,1.45,1.38,1.68,2.05,4.37,3.93,5.3,7.04
g_1,0.05,0.06,0.05,0.06,0.06,0.12,0.75,1.0,1.1,1.29,1.42,2.2,3.4,3.6,5.17,5.74
d_0,0.03,0.04,0.04,0.06,0.05,0.1,0.71,0.91,1.0,0.86,1.2,1.42,3.01,3.0,3.67,4.57
c_0,0.04,0.03,0.04,0.05,0.05,0.1,0.73,0.77,1.22,1.0,1.55,1.72,3.01,3.44,4.19,4.54
b_0,0.03,0.03,0.03,0.05,0.05,0.09,0.6,0.7,0.89,0.63,1.0,1.45,2.5,3.21,3.39,4.26
f_0,0.02,0.03,0.03,0.04,0.03,0.06,0.51,0.46,0.7,0.6,0.72,1.0,1.98,1.92,3.59,2.43
h_0,0.01,0.01,0.02,0.02,0.02,0.03,0.23,0.29,0.32,0.33,0.4,0.48,1.0,1.03,1.23,1.73
a_0,0.01,0.01,0.01,0.02,0.02,0.03,0.26,0.28,0.33,0.29,0.31,0.51,0.98,1.0,1.26,1.49
e_0,0.01,0.01,0.01,0.01,0.01,0.02,0.19,0.19,0.26,0.25,0.3,0.28,0.79,0.81,1.0,1.09
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.14,0.17,0.22,0.22,0.25,0.38,0.57,0.65,0.87,1.0
