,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,1.5,0.73,0.62,0.89,0.58,0.64,0.84,1.54,0.83,0.8,0.98,0.89,0.87,1.06,0.93,0.66
f_1,1.14,1.5,0.67,0.71,0.63,0.51,0.85,0.79,0.81,0.88,0.7,0.46,0.7,0.79,0.77,0.47
d_1,0.85,0.89,1.55,0.56,0.63,0.57,0.89,0.63,0.65,1.39,0.92,0.86,0.78,0.94,0.88,0.82
c_1,0.69,0.81,0.84,1.57,1.12,0.55,0.87,0.7,0.81,0.5,0.7,0.74,0.64,0.8,0.67,0.72
b_1,0.78,0.78,0.87,0.62,1.67,1.17,0.92,0.77,0.82,0.76,0.55,0.97,0.68,1.07,0.85,0.89
a_1,0.82,0.92,0.88,0.85,0.52,1.77,1.02,0.97,0.83,1.02,1.03,1.0,0.53,1.08,1.35,0.83
h_1,1.01,1.29,1.05,0.9,0.87,0.7,1.73,1.04,1.16,1.05,0.99,1.01,0.92,0.94,1.27,0.98
d_0,0.79,1.13,0.8,1.7,1.02,0.79,1.19,1.61,1.11,0.82,1.15,1.1,1.03,1.19,1.21,1.0
g_1,0.93,0.81,1.52,1.01,0.82,0.75,1.1,1.01,1.87,1.28,1.2,1.69,1.09,0.95,1.06,1.13
c_0,1.24,1.06,0.87,0.97,0.79,0.84,1.21,1.57,0.98,1.65,1.83,1.26,1.09,1.49,1.56,0.96
b_0,1.02,1.32,1.05,1.22,0.65,0.57,1.28,1.33,1.07,0.98,1.7,1.18,1.91,1.18,1.26,1.06
f_0,0.93,0.92,1.16,1.16,0.93,0.82,1.32,1.27,0.97,1.15,1.23,1.76,1.21,1.4,1.24,1.96
a_0,1.01,1.22,1.24,1.38,1.06,0.56,1.34,1.39,1.07,1.1,1.0,1.13,1.78,1.34,1.17,1.2
h_0,1.04,1.47,1.11,1.09,0.79,0.87,1.08,1.38,1.5,1.04,1.19,1.12,1.16,1.02,1.61,0.94
g_0,1.05,1.11,1.55,1.21,0.91,0.66,1.3,1.21,0.8,1.05,1.31,1.61,1.3,1.27,1.09,1.03
e_0,0.77,1.53,1.19,1.16,1.09,0.82,1.33,1.28,1.14,1.29,1.26,1.04,1.11,1.49,1.33,1.76
