,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.47,1.08,0.94,1.07,1.0,0.71,1.0,0.94,0.89,0.83,,0.98,1.0,0.89,1.11
e_1,0.68,1.0,1.02,1.04,1.1,1.11,1.08,1.48,0.97,1.05,0.72,0.98,0.87,1.36,,1.02
d_1,0.93,0.98,1.0,1.14,0.96,1.25,0.85,,1.35,0.89,0.94,1.04,0.97,1.04,1.0,0.75
c_1,1.07,0.96,0.88,1.0,1.48,1.1,1.23,0.74,,1.02,0.8,1.02,0.94,1.06,1.03,1.04
b_1,0.93,0.91,1.04,0.68,1.0,1.36,0.94,1.14,1.24,1.19,,0.68,1.1,1.07,0.87,0.98
a_1,1.0,0.9,0.8,0.91,0.73,1.0,1.54,1.03,0.92,1.21,0.94,1.12,1.19,,,1.44
h_1,1.41,0.92,1.17,0.81,1.06,0.65,1.0,0.83,0.92,1.26,1.13,0.85,,0.81,0.89,1.29
d_0,1.0,0.68,,1.36,0.88,0.97,1.2,1.0,0.8,1.14,1.05,1.15,1.17,0.87,0.95,1.02
c_0,1.06,1.03,0.74,,0.8,1.09,1.09,1.25,1.0,1.03,1.43,0.96,0.92,0.9,0.94,0.87
g_1,1.12,0.95,1.13,0.98,0.84,0.83,0.8,0.88,0.97,1.0,0.89,1.62,1.09,0.94,,
b_0,1.21,1.38,1.06,1.24,,1.06,0.88,0.95,0.7,1.13,1.0,0.88,0.75,1.39,1.04,0.81
f_0,,1.02,0.96,0.98,1.47,0.89,1.18,0.87,1.05,0.62,1.14,1.0,1.05,0.74,,0.8
h_0,1.02,1.15,1.03,1.06,0.91,0.84,,0.86,1.09,0.92,1.34,0.95,,0.74,0.78,1.26
a_0,1.0,0.74,0.96,0.94,0.94,,1.24,1.14,1.11,1.07,0.72,1.36,1.35,1.0,,0.84
e_0,1.13,,1.0,0.97,1.14,,1.12,1.05,1.07,,0.96,,1.28,,1.0,
g_0,0.9,0.98,1.34,0.96,1.02,0.69,0.78,0.98,1.15,,1.24,1.25,0.79,1.19,,
