,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.47,0.67,0.55,0.89,0.68,0.6,0.81,0.88,1.66,0.93,0.98,1.01,0.99,0.9,0.5,0.96
f_1,1.11,2.57,0.69,0.6,0.54,0.53,0.85,0.78,0.82,0.82,0.88,0.45,0.98,0.88,0.67,0.88
d_1,0.67,0.67,2.84,0.51,0.63,0.61,0.84,0.92,0.39,1.73,1.29,0.89,1.04,1.1,1.07,0.84
c_1,0.54,0.62,0.59,2.95,1.23,0.62,0.97,0.79,0.93,0.37,0.74,0.94,0.9,0.95,0.92,0.96
b_1,0.56,0.75,0.65,0.7,3.06,1.17,1.05,0.86,0.8,0.73,0.37,0.99,0.85,0.59,1.13,0.84
a_1,0.69,0.7,0.66,0.64,0.52,4.4,0.99,0.96,0.99,0.92,0.97,1.11,1.02,0.68,0.94,1.15
h_1,0.69,1.11,0.93,0.69,0.78,0.63,2.72,1.5,0.98,0.97,0.97,1.0,0.65,0.97,1.12,1.68
g_1,0.66,0.69,1.37,0.67,0.77,0.64,0.98,3.19,1.03,1.14,0.98,1.8,1.01,1.08,1.16,0.81
d_0,0.74,0.81,0.43,1.53,0.8,0.93,0.98,0.99,1.99,0.8,1.18,1.18,1.2,1.05,1.09,0.9
c_0,0.8,0.91,0.91,0.55,0.52,0.75,1.12,1.2,1.11,2.21,2.29,1.14,1.33,1.6,1.21,1.2
b_0,0.9,0.86,0.83,0.82,0.41,0.64,1.08,1.19,1.24,1.37,2.45,1.23,1.36,2.51,1.21,1.29
f_0,0.69,0.52,0.92,0.83,0.78,0.87,1.23,1.22,1.26,1.06,1.08,2.34,1.29,1.16,2.93,1.36
h_0,0.87,1.16,0.85,0.75,0.72,0.65,0.76,1.43,0.97,1.23,1.05,1.16,0.89,1.14,0.94,1.7
a_0,0.89,0.93,0.92,0.74,0.73,0.43,1.12,1.23,0.94,1.19,1.35,1.19,1.28,3.15,1.34,1.26
e_0,0.41,0.86,1.04,0.78,0.73,0.75,1.37,1.24,1.13,1.2,1.4,1.48,1.31,1.24,3.24,1.64
g_0,0.7,0.72,1.27,0.85,0.7,0.69,1.04,0.86,0.91,1.17,1.15,1.86,1.12,1.08,1.49,0.75
