,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.42,0.85,0.97,0.87,0.9,0.79,0.22,0.19,0.25,0.18,0.19,0.22,0.11,0.18,0.14,0.17
e_1,0.6,0.42,0.92,0.99,0.99,0.89,0.3,0.21,0.28,0.19,0.18,0.23,0.14,0.18,0.14,0.27
d_1,1.06,1.1,0.41,0.91,0.92,0.86,0.27,0.27,0.17,0.19,0.17,0.17,0.12,0.17,0.09,0.17
c_1,0.96,0.77,1.26,0.4,0.82,0.86,0.29,0.13,0.3,0.26,0.21,0.19,0.15,0.19,0.13,0.22
b_1,1.15,1.05,1.11,0.62,0.38,1.07,0.32,0.21,0.32,0.34,0.35,0.18,0.14,0.2,0.16,0.22
a_1,1.63,1.38,1.26,1.13,0.71,0.31,0.38,0.34,0.38,0.34,0.36,0.28,0.23,0.33,0.17,0.27
h_1,1.91,1.55,1.7,1.68,1.62,1.15,0.28,0.33,0.47,0.32,0.3,0.3,0.3,0.28,0.25,0.28
d_0,1.73,1.21,2.88,2.3,2.05,1.69,0.65,0.31,0.75,0.41,0.39,0.42,0.33,0.38,0.34,0.54
g_1,2.22,1.97,2.11,1.83,2.03,1.64,0.45,0.46,0.27,0.45,0.41,0.35,0.22,0.35,0.33,0.37
c_0,2.41,1.99,1.26,2.86,2.11,1.62,0.63,0.57,0.51,0.29,0.37,0.38,0.35,0.41,0.27,0.42
b_0,2.24,2.08,1.79,2.93,2.76,1.65,0.62,0.5,0.58,0.26,0.28,0.41,0.32,0.41,0.29,0.33
f_0,3.03,2.01,2.1,2.11,2.31,1.94,0.64,0.46,0.41,0.45,0.41,0.28,0.34,0.45,0.24,0.43
h_0,2.53,2.52,2.37,2.13,2.43,2.23,0.86,0.53,0.67,0.5,0.46,0.46,0.38,0.46,0.31,0.4
a_0,2.67,2.39,2.27,2.92,3.16,2.41,0.81,0.54,0.65,0.42,0.29,0.48,0.4,0.28,0.35,0.45
g_0,2.75,2.62,2.49,2.66,2.53,2.14,0.6,0.53,0.87,0.47,0.47,0.56,0.32,0.52,0.47,0.53
e_0,3.21,3.2,2.4,2.64,2.32,2.29,0.78,0.52,0.67,0.51,0.46,0.27,0.38,0.57,0.32,0.25
