,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,1.52,0.59,0.62,0.93,0.64,0.55,0.91,1.4,0.7,0.73,0.88,0.94,0.83,0.62,0.65,0.8
f_1,1.25,1.53,0.61,0.52,0.53,0.46,0.67,0.76,0.71,0.89,0.49,0.64,0.81,0.47,0.81,0.72
d_1,0.64,0.81,1.56,0.6,0.66,0.53,0.79,0.54,0.74,1.3,0.8,0.82,0.82,0.69,0.61,0.71
c_1,0.53,0.69,0.7,1.55,1.13,0.55,0.81,0.7,0.64,0.39,0.8,0.58,0.91,0.64,0.56,0.87
b_1,0.68,0.71,0.74,0.61,1.6,1.04,0.79,0.84,0.67,0.81,0.8,0.58,0.94,0.73,0.56,0.87
a_1,0.7,0.98,0.81,0.77,0.51,1.73,0.78,0.97,0.86,0.67,0.77,0.89,1.11,0.89,0.62,0.87
h_1,0.77,1.2,0.96,0.93,0.79,0.63,1.72,0.97,1.29,0.99,0.97,1.0,0.81,0.86,0.96,1.42
d_0,0.76,0.91,0.72,1.52,0.89,0.72,1.14,1.56,1.05,0.8,1.14,1.15,1.13,0.96,1.06,1.12
g_1,0.86,0.87,1.2,1.01,0.91,0.73,0.96,0.89,1.8,1.01,1.49,0.88,1.01,0.88,0.86,0.82
c_0,1.12,0.99,0.94,0.7,0.63,0.85,1.2,1.33,1.0,1.63,1.13,1.71,1.17,0.88,1.07,1.21
f_0,0.77,0.76,1.02,1.14,0.96,0.86,1.12,1.19,1.05,1.01,1.67,1.11,1.14,1.69,1.08,1.01
b_0,0.89,1.22,0.89,1.18,0.5,0.53,1.21,1.14,1.25,0.94,1.04,1.71,1.17,1.13,1.86,1.23
h_0,0.98,1.28,0.99,0.97,0.8,0.79,1.0,1.28,1.36,1.17,1.13,1.09,0.98,0.89,0.89,1.38
e_0,0.68,1.29,0.95,1.09,0.83,0.72,1.32,1.23,1.22,1.29,0.89,1.08,1.58,1.77,1.33,1.31
a_0,1.21,0.97,1.06,1.16,0.93,0.52,1.32,1.21,1.18,1.35,1.04,0.98,1.23,0.81,1.68,1.15
g_0,0.9,0.98,1.55,0.93,0.92,0.82,1.02,1.09,0.95,1.36,1.7,1.04,1.22,1.0,1.18,0.95
