,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.7,0.84,0.68,0.98,0.82,0.76,0.96,0.9,1.58,0.86,1.03,0.95,1.05,1.02,0.77,0.95
f_1,1.24,1.74,0.71,0.84,0.82,0.62,0.86,0.84,0.99,0.9,0.9,0.68,0.95,0.79,0.54,0.99
d_1,0.8,0.89,2.04,0.63,0.66,0.76,1.02,1.01,0.65,1.72,1.21,1.11,1.07,1.2,1.12,0.96
c_1,0.72,0.74,0.82,1.98,1.37,0.81,0.97,0.91,0.87,0.56,0.74,0.99,0.92,0.93,1.16,0.85
b_1,0.71,0.79,0.91,0.89,2.06,1.44,0.91,0.99,0.85,0.84,0.71,0.99,0.88,0.81,0.94,0.92
a_1,0.82,0.88,0.84,0.8,0.79,3.09,1.01,0.89,1.0,1.04,1.02,1.05,1.13,0.62,1.12,1.1
h_1,0.84,1.1,0.97,0.84,0.75,0.8,1.72,1.35,0.82,0.98,1.09,1.06,0.76,0.99,1.05,1.39
g_1,0.72,0.87,1.34,0.85,0.73,0.81,0.96,2.12,0.8,1.06,1.12,1.63,0.97,1.12,1.4,0.81
d_0,0.83,0.86,0.62,1.43,0.98,0.79,1.07,1.04,1.43,0.69,1.0,1.0,0.99,0.95,1.07,1.02
c_0,0.92,1.04,0.92,0.77,0.63,0.69,1.17,1.12,0.95,1.47,1.83,1.01,1.15,1.33,1.22,1.16
b_0,0.96,1.0,0.94,0.89,0.59,0.72,1.08,1.08,1.0,1.0,1.63,0.93,1.07,2.03,1.11,1.22
f_0,0.69,0.79,1.15,0.82,0.83,0.79,1.26,1.13,0.97,1.16,1.14,1.73,1.17,1.15,2.15,1.31
h_0,0.9,1.08,0.98,0.88,0.82,0.63,0.83,1.22,1.04,1.0,0.96,1.07,0.75,0.9,1.0,1.35
a_0,0.9,1.01,0.99,0.8,0.71,0.57,0.97,1.11,0.89,1.18,1.02,0.96,1.2,2.15,1.15,1.17
e_0,0.77,1.01,0.92,0.82,0.93,0.9,1.19,1.18,0.89,1.05,1.18,0.99,1.29,1.1,2.09,1.07
g_0,0.8,0.82,1.29,0.85,0.7,0.84,1.04,0.97,0.85,1.05,1.07,1.46,1.05,1.23,1.2,0.98
