,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.13,4.4,5.22,4.46,5.42,5.02,1.08,1.65,1.13,0.88,2.33,1.15,0.63,0.99,0.98,0.83
e_1,2.81,1.13,6.06,5.98,5.75,4.6,1.59,1.92,1.03,1.16,1.35,1.11,0.89,3.05,1.19,0.83
c_1,6.42,4.44,1.12,6.83,4.9,4.75,1.47,1.79,0.63,2.01,1.02,1.17,0.79,1.05,1.0,0.97
d_1,6.12,6.82,5.81,1.12,6.17,5.62,1.51,0.97,3.19,0.99,0.96,0.87,0.76,1.04,0.92,0.52
b_1,6.82,7.64,3.43,6.6,1.14,8.3,2.1,2.04,1.51,2.29,1.38,3.99,0.98,1.34,1.59,0.93
a_1,10.76,8.94,14.49,13.64,4.77,1.14,2.95,3.03,1.86,2.31,2.21,3.31,1.97,2.32,5.12,1.68
h_1,16.96,18.44,15.21,16.67,15.86,18.41,1.85,5.93,4.14,4.17,4.38,4.12,4.41,3.58,3.51,3.06
g_1,23.43,25.6,23.28,22.3,26.82,19.36,4.57,1.8,4.38,4.67,5.26,3.9,2.23,3.72,4.26,5.09
d_0,22.69,12.44,22.66,36.26,29.59,21.37,6.85,6.69,2.56,4.44,4.44,4.47,3.1,4.35,4.86,4.17
c_0,24.23,24.21,59.23,11.46,28.7,30.98,7.21,7.12,6.11,2.43,4.96,4.71,3.52,4.07,5.57,3.33
f_0,53.16,21.57,25.38,23.08,27.33,19.16,7.47,4.22,4.79,5.09,2.25,5.22,3.66,3.83,6.53,2.19
b_0,30.71,25.79,37.51,24.09,56.27,22.95,8.93,7.68,5.46,2.67,5.04,2.33,4.02,4.5,5.57,3.89
h_0,33.92,34.22,31.55,28.95,34.17,33.2,14.68,10.73,6.11,5.86,6.19,5.12,7.03,5.78,5.49,3.89
e_0,53.97,63.55,34.45,35.48,35.43,33.8,9.24,10.56,8.43,6.68,3.77,8.11,5.23,2.61,8.06,4.07
a_0,36.72,37.07,42.2,41.77,44.84,74.36,13.05,9.26,6.73,6.9,9.38,3.63,4.74,6.67,2.65,5.67
g_0,48.14,41.38,40.67,32.04,43.48,53.11,9.56,19.88,9.65,7.57,9.52,9.25,4.5,7.44,7.73,9.61
