,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.93,0.15,0.1,0.1,0.09,0.08,0.07,0.07,0.04,0.06,0.06,,0.06,0.05,0.05,0.04
e_1,0.09,0.93,0.08,0.11,0.08,0.05,0.07,0.07,0.05,0.11,0.06,0.07,0.07,0.04,0.06,
d_1,0.12,0.12,0.93,0.1,0.1,0.06,0.08,0.09,0.06,,0.07,0.05,0.05,0.04,0.05,0.05
c_1,0.12,0.09,0.13,0.93,0.12,0.06,0.09,,0.05,0.06,0.05,0.05,0.06,0.03,0.07,0.05
b_1,0.11,0.12,0.13,0.1,0.93,0.11,0.09,0.08,0.05,0.07,,0.05,0.07,0.05,0.05,0.04
a_1,0.11,0.14,0.14,0.13,0.08,0.93,0.09,0.09,,0.11,0.06,0.06,0.07,,0.05,
h_1,0.33,0.31,0.29,0.24,0.22,0.21,0.71,0.19,0.21,0.18,0.18,0.14,,0.09,0.19,0.1
c_0,0.31,0.37,0.32,,0.24,0.2,0.28,0.58,0.21,0.23,0.34,0.19,0.23,0.15,0.15,0.13
g_1,0.43,0.37,0.36,0.35,0.32,,0.21,0.2,0.71,0.12,0.18,0.2,0.12,0.11,,
d_0,0.41,0.28,,0.5,0.31,0.16,0.26,0.22,0.21,0.57,0.22,0.21,0.21,0.19,0.2,0.15
b_0,0.46,0.43,0.21,0.32,,0.2,0.18,0.2,0.24,0.25,0.57,0.32,0.21,,0.16,0.15
f_0,,0.26,0.42,0.42,0.33,0.25,0.27,0.28,0.22,0.23,0.19,0.57,0.24,0.2,0.15,0.24
h_0,0.68,0.51,0.55,0.52,0.31,0.25,,0.32,0.38,0.29,0.28,0.2,,0.16,0.29,0.16
a_0,0.42,0.39,0.55,0.45,0.34,,0.26,0.25,0.24,0.25,,0.21,0.31,0.57,0.18,
g_0,0.53,0.46,0.65,0.41,0.46,0.34,0.34,0.3,,0.26,0.28,0.45,0.27,0.21,,0.17
e_0,0.42,,0.45,0.39,0.37,,0.33,0.36,,0.3,0.21,0.24,0.26,,0.25,0.56
