,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.5,2.38,1.49,1.78,1.61,1.52,3.03,3.1,3.13,3.91,3.31,2.95,4.18,3.29,3.07,4.45
e_1,1.58,2.52,1.54,2.03,1.64,1.62,3.24,3.39,3.24,5.25,3.66,3.96,4.47,4.05,3.43,4.71
d_1,1.82,1.7,2.56,1.36,1.56,1.82,3.13,5.29,3.1,3.27,4.47,3.97,4.67,4.19,4.08,4.36
c_1,1.59,1.37,1.77,2.69,2.68,1.56,3.01,2.48,3.36,2.73,2.72,3.54,4.4,3.55,3.84,4.61
b_1,1.66,1.53,1.78,1.37,2.72,2.91,3.48,3.63,3.06,3.44,2.88,3.56,4.52,3.0,3.48,4.75
a_1,1.91,1.71,1.67,1.82,1.34,3.19,3.84,3.74,3.39,4.27,4.08,3.97,4.92,3.43,3.62,4.8
h_1,2.16,1.71,1.81,1.8,1.58,1.55,4.26,3.6,3.8,3.39,3.87,3.55,4.27,4.21,3.65,5.53
c_0,2.05,1.81,1.64,1.76,1.58,1.5,3.26,4.51,3.81,4.23,5.86,3.96,5.06,5.21,4.35,4.62
g_1,1.53,1.54,2.3,1.76,1.75,1.66,2.98,3.94,4.75,3.32,3.67,5.11,4.43,3.78,3.88,4.2
d_0,1.69,1.51,1.59,2.71,1.9,1.41,3.61,3.12,3.51,4.34,3.76,3.41,4.96,4.24,3.8,4.7
b_0,1.94,1.84,1.69,1.99,1.63,1.33,3.55,3.46,3.64,3.76,4.82,3.87,5.05,6.48,4.18,4.53
f_0,1.64,1.51,1.77,1.83,1.91,1.65,3.58,4.11,3.18,3.68,4.06,4.94,5.13,5.17,6.38,4.2
h_0,2.05,1.78,1.81,1.8,1.7,1.47,2.98,3.75,3.95,3.59,3.47,3.59,3.99,3.56,4.14,5.38
a_0,1.94,1.64,1.66,2.0,1.96,1.44,3.31,3.54,3.51,3.68,3.7,3.62,4.82,5.37,4.61,4.38
e_0,1.93,1.48,1.86,1.83,1.77,1.64,3.49,3.85,3.93,3.57,4.12,3.58,5.12,4.02,5.66,4.71
g_0,1.64,1.53,2.21,1.77,1.64,1.6,3.23,3.82,3.31,3.43,4.2,5.42,4.53,4.36,4.76,4.25
