,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.15,41.11,73.89,94.79,79.62,84.27,22.86,26.3,19.83,17.3,15.05,20.44,11.11,14.62,18.56,
f_1,112.18,1.15,83.36,111.14,66.02,92.7,14.84,22.19,19.28,15.24,17.97,,7.54,17.27,8.35,21.07
d_1,90.81,92.5,1.15,100.72,93.34,97.58,24.88,16.51,,19.39,21.42,16.73,12.41,25.33,8.15,24.31
c_1,127.13,123.33,104.87,1.15,128.9,88.29,25.64,28.4,8.9,,18.57,16.73,14.55,16.52,11.93,17.56
b_1,100.37,123.33,130.04,59.69,1.15,109.06,38.45,35.5,18.76,25.6,,32.47,13.61,27.14,20.88,21.07
a_1,200.74,137.04,147.77,189.59,87.32,1.15,70.5,37.37,31.55,40.0,46.42,36.8,32.46,,,
h_1,112.18,108.82,83.36,78.61,100.26,97.58,2.0,20.29,20.41,17.3,13.59,24.0,,25.33,14.52,15.05
g_1,136.21,160.87,112.1,111.14,90.23,123.6,19.67,2.0,33.05,24.62,21.42,24.0,12.41,23.75,,26.33
d_0,48.28,92.5,,71.62,123.05,88.29,20.63,39.44,3.02,16.0,24.22,14.53,16.23,14.62,16.7,13.17
c_0,79.46,97.37,54.18,,93.34,97.58,27.29,41.76,19.83,2.95,23.21,16.73,14.07,17.27,16.7,18.59
b_0,103.08,105.71,154.81,134.29,,142.62,28.2,25.36,24.79,12.8,3.06,23.0,15.63,29.23,12.37,17.56
f_0,123.03,,108.37,111.14,82.03,88.29,38.45,21.52,27.76,42.67,19.21,2.8,16.88,21.11,11.93,19.75
h_0,123.03,92.5,87.86,82.64,117.7,88.29,,21.52,18.26,17.3,18.57,17.81,,23.75,11.13,19.75
a_0,181.62,160.87,191.24,153.48,246.09,,47.0,50.71,24.79,49.23,16.88,39.43,28.13,2.92,27.83,
g_0,112.18,132.14,116.11,153.48,180.47,,38.45,,24.79,19.39,30.94,34.5,8.61,21.11,,21.07
e_0,,231.25,270.92,214.87,180.47,,42.3,64.55,36.53,33.68,37.13,19.71,28.13,,19.65,3.19
