,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.47,1.72,1.02,1.08,1.08,1.04,1.87,2.04,2.25,2.52,2.32,1.37,2.42,2.09,2.24,3.12
e_1,1.13,2.48,1.04,1.49,1.03,1.09,2.35,2.39,1.99,3.72,2.48,2.87,3.14,2.36,2.05,3.18
d_1,1.18,1.13,2.51,0.86,1.11,1.16,2.14,4.07,1.99,1.91,3.04,2.77,3.37,2.81,2.97,2.81
c_1,1.06,0.94,1.15,2.66,2.11,0.84,1.99,1.2,2.09,1.72,2.02,2.21,3.02,2.56,2.31,3.21
b_1,1.19,1.04,1.32,0.75,2.68,2.02,2.41,2.41,2.19,2.48,1.48,2.36,3.16,2.01,2.26,3.22
a_1,1.23,1.13,1.17,1.39,0.83,3.16,2.51,2.28,1.95,3.03,2.52,2.98,3.41,2.27,2.24,3.13
h_1,1.69,1.18,1.27,1.28,1.02,1.25,3.9,2.44,2.98,2.27,2.7,2.41,2.33,3.3,2.55,3.98
c_0,1.44,1.26,1.15,1.25,1.07,1.25,2.5,3.92,2.86,2.95,4.68,3.08,3.86,3.47,2.76,3.28
g_1,1.03,1.22,1.83,1.26,1.24,1.16,2.02,2.9,4.43,2.11,2.53,3.73,2.95,2.53,2.29,1.98
d_0,1.24,1.21,0.94,2.24,1.13,1.03,2.84,2.24,2.44,3.86,2.86,2.39,3.5,2.86,2.74,2.79
b_0,1.47,1.2,1.24,1.47,0.87,0.96,2.6,2.46,2.61,2.59,4.29,2.88,3.79,5.39,3.05,2.68
f_0,1.03,1.0,1.3,1.45,1.29,1.06,2.71,2.96,2.28,2.83,2.99,4.38,3.88,3.85,5.68,3.05
h_0,1.7,1.22,1.34,1.3,1.14,0.91,1.96,2.54,3.12,2.69,2.38,2.6,2.55,2.47,3.1,4.09
a_0,1.44,1.25,1.28,1.5,1.35,0.63,2.38,2.5,2.89,2.93,2.5,2.92,3.93,4.67,3.18,3.38
e_0,1.31,0.77,1.22,1.56,1.33,1.31,2.68,2.98,3.26,2.79,2.98,2.42,3.53,2.9,5.0,3.97
g_0,1.05,1.18,1.78,1.34,1.1,1.17,2.29,2.62,2.39,2.97,3.3,4.18,2.99,2.67,3.0,2.41
