,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.22,0.56,0.5,0.55,0.41,0.33,0.93,0.91,0.68,2.02,0.99,0.9,1.39,0.81,0.39,1.16
f_1,0.9,2.29,0.47,0.4,0.36,0.38,0.75,0.89,0.54,0.89,0.95,0.28,1.14,0.76,0.54,0.99
d_1,0.49,0.52,2.35,0.4,0.41,0.43,0.93,1.93,0.88,0.45,1.01,0.96,1.27,0.85,0.94,1.02
c_1,0.52,0.49,0.47,2.53,0.78,0.28,0.78,0.35,0.82,0.92,0.86,1.02,1.21,0.63,0.73,1.19
b_1,0.49,0.53,0.49,0.46,2.71,0.75,0.89,0.86,0.6,0.92,0.28,0.95,1.26,0.64,0.75,1.05
a_1,0.52,0.5,0.47,0.51,0.38,2.99,0.96,1.0,0.95,0.76,1.17,1.18,1.33,0.51,0.99,1.19
h_1,0.52,0.84,0.62,0.52,0.48,0.4,3.03,1.11,1.32,1.24,1.37,1.25,0.81,0.95,1.12,1.75
c_0,0.66,0.64,0.68,0.29,0.42,0.41,1.33,2.65,1.09,1.4,2.48,1.36,1.77,1.43,1.16,1.5
g_1,0.47,0.55,0.9,0.48,0.59,0.53,0.91,1.3,3.3,0.89,1.32,1.76,1.2,1.02,0.93,0.64
d_0,0.59,0.66,0.3,1.07,0.52,0.4,0.97,1.06,0.96,2.43,1.24,1.1,1.76,1.03,0.99,1.72
b_0,0.56,0.68,0.75,0.55,0.36,0.33,1.11,1.38,0.99,1.25,2.67,1.26,1.44,2.38,1.12,1.52
f_0,0.44,0.34,0.76,0.71,0.54,0.51,1.2,1.35,1.05,1.58,1.2,2.82,1.72,1.26,2.19,1.53
h_0,0.7,0.84,0.65,0.57,0.52,0.37,0.63,1.16,1.28,1.24,1.42,1.06,0.84,1.04,1.02,1.69
a_0,0.6,0.62,0.77,0.63,0.48,0.12,1.14,1.51,0.95,1.36,1.08,1.21,1.92,3.08,1.25,1.37
e_0,0.28,0.8,0.53,0.57,0.49,0.54,1.45,1.57,1.26,1.19,1.48,1.45,1.97,1.39,3.19,1.46
g_0,0.56,0.57,1.02,0.61,0.46,0.37,0.94,1.35,0.6,1.08,1.31,1.76,1.4,1.09,1.13,0.98
