,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,95.38,56.99,34.38,58.07,74.52,249.97,4514.92,10175.13,12050.62,15187.48,21141.7,12118.45,61906.46,55044.44,54089.48,117144.17
e_1,27.29,111.24,36.71,57.56,68.79,217.16,4302.18,10885.3,13497.81,22922.27,20897.21,24702.72,59706.33,55088.85,39020.04,103956.01
d_1,31.61,33.36,117.13,61.76,59.99,237.73,4237.48,8520.96,18965.44,7706.11,17659.81,20380.1,57584.4,46286.94,75575.68,115364.7
c_1,25.6,27.27,26.07,155.11,116.86,200.33,4132.96,7737.33,4923.64,9031.41,15563.5,21633.77,58535.87,44489.97,66318.07,126031.49
b_1,21.8,26.16,33.36,30.08,201.71,295.76,4465.58,7755.27,10617.78,10756.41,8291.96,21894.83,44705.58,36410.72,62761.15,82409.1
a_1,14.08,17.96,22.88,31.24,34.18,557.42,2528.48,4161.64,6370.43,7649.33,9733.9,10718.82,33910.74,,40157.08,82580.85
h_1,12.0,11.01,12.31,16.98,19.68,77.77,2854.15,3371.37,3798.28,4259.68,5710.68,8007.64,17054.5,17894.78,25527.94,51782.08
g_1,5.78,7.58,13.55,13.0,16.21,73.78,1098.43,5290.67,3753.13,3385.82,4476.64,8413.9,14589.84,12092.59,23190.71,20736.29
c_0,8.94,9.08,7.86,6.34,15.1,62.09,1129.69,1950.75,5218.74,3846.48,8249.07,5860.89,15213.47,11995.98,17361.5,30620.64
d_0,7.58,6.24,5.72,20.51,14.33,61.25,1045.36,2510.63,2558.25,5543.09,4287.38,5843.83,15071.93,13349.63,18141.61,27968.3
b_0,6.95,6.87,9.04,11.62,9.21,36.71,1093.58,2254.68,2298.15,3744.19,7260.9,5197.85,17357.4,16421.98,18426.99,31439.9
f_0,4.86,6.17,9.76,10.06,14.36,46.64,911.71,1576.51,2407.33,2871.8,4760.39,8594.57,12075.5,9903.3,23237.33,21839.65
h_0,5.69,5.12,6.83,7.71,10.5,30.09,322.24,1637.3,1851.52,2029.92,2357.48,3986.56,6072.78,6531.43,10965.89,22020.92
a_0,4.52,5.87,6.31,9.26,8.97,,749.32,1761.7,2125.2,2000.0,2381.96,4057.24,12295.81,15428.39,12613.97,16136.48
e_0,5.91,2.47,5.71,7.89,10.23,23.45,566.77,1164.11,2069.33,1687.86,2418.93,2822.22,9677.43,6066.99,21514.64,18776.48
g_0,3.44,3.64,6.4,5.69,9.67,26.87,491.14,620.58,1673.65,1649.26,2104.74,4185.01,6580.13,7131.18,9023.75,8922.08
