,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.16,0.88,0.94,0.9,0.58,0.38,0.4,0.37,0.45,0.35,0.28,0.28,0.29,0.25,0.28
e_1,0.87,1.0,0.84,1.03,0.89,0.75,0.59,0.63,0.39,0.42,0.49,0.47,0.4,0.33,0.36,0.38
d_1,1.15,1.2,1.0,0.89,1.07,0.64,0.48,0.47,0.64,0.35,0.4,0.4,0.38,0.4,0.31,0.27
c_1,1.07,0.98,1.11,1.0,1.29,0.78,0.48,0.32,0.33,0.41,0.33,0.36,0.37,0.34,0.33,0.33
b_1,1.11,1.12,0.94,0.77,1.0,1.31,0.64,0.49,0.52,0.5,0.54,0.44,0.42,0.3,0.34,0.41
a_1,1.7,1.31,1.55,1.28,0.77,1.0,0.69,0.58,0.56,0.77,0.55,0.52,0.44,0.49,0.44,0.37
h_1,2.69,1.72,2.09,1.99,1.59,1.34,1.0,0.81,0.83,1.06,0.82,0.67,0.73,0.67,0.61,0.73
d_0,2.46,1.48,2.01,3.3,2.11,1.7,1.25,1.0,0.99,1.05,0.8,0.96,0.88,0.75,0.77,0.8
c_0,2.65,2.59,1.55,2.99,1.79,1.69,1.16,1.04,1.0,1.11,1.35,0.76,0.92,0.92,0.74,0.73
g_1,2.23,2.32,2.83,2.52,2.11,1.29,0.91,0.97,0.92,1.0,1.02,1.11,0.72,0.67,0.72,0.73
b_0,2.88,2.11,2.41,2.91,1.99,1.81,1.19,1.17,0.78,0.98,1.0,0.85,0.89,1.19,0.69,0.64
f_0,3.39,2.05,2.48,2.84,2.29,1.81,1.51,1.1,1.28,0.9,1.24,1.0,1.01,0.94,1.36,0.76
h_0,3.52,2.62,2.62,2.7,2.44,2.29,1.3,1.09,1.08,1.38,1.11,1.01,0.99,0.78,0.83,1.0
a_0,3.69,2.88,2.6,2.87,3.31,1.84,1.52,1.28,1.15,1.5,0.91,1.05,1.32,1.0,0.82,1.01
e_0,4.01,2.73,3.13,3.13,3.13,2.26,1.73,1.27,1.35,1.31,1.42,0.71,1.22,1.08,1.0,1.04
g_0,3.61,2.8,3.68,2.82,2.37,2.56,1.4,1.26,1.32,1.39,1.56,1.34,0.99,1.09,0.98,1.0
