,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,6.27,4.6,2.42,2.7,2.74,2.8,10.13,12.03,14.57,9.74,13.88,8.88,12.88,18.45,9.17,17.06
e_1,2.96,6.33,2.52,3.52,2.9,2.41,10.44,11.47,21.39,10.35,13.19,12.6,14.02,20.09,10.75,20.52
d_1,3.16,2.62,7.01,2.09,2.6,2.6,10.89,21.84,8.5,10.54,16.33,14.17,17.16,22.22,15.91,24.24
c_1,2.68,2.44,2.6,7.08,5.15,2.99,9.16,8.95,11.93,9.33,8.85,13.67,13.27,20.58,14.34,17.38
b_1,2.78,2.53,2.77,2.97,7.5,5.33,9.32,10.77,11.05,10.26,9.39,13.46,10.79,21.43,15.42,21.59
a_1,3.32,2.68,2.99,2.89,2.7,10.11,11.15,13.18,12.37,11.05,14.19,13.84,12.76,22.11,15.68,21.64
h_1,4.06,3.09,3.09,2.91,2.54,2.82,18.98,12.98,13.3,13.78,15.19,14.44,16.75,17.64,15.44,27.35
c_0,3.31,2.97,3.59,2.57,2.36,2.95,12.03,19.78,12.32,12.47,23.75,13.89,21.94,21.67,16.17,25.91
d_0,2.97,2.95,2.32,5.32,3.28,2.64,10.35,9.7,19.48,10.95,12.79,13.8,15.67,20.75,13.62,21.74
g_1,2.89,2.4,4.52,2.94,2.98,3.08,11.45,14.58,11.0,22.39,13.91,22.04,15.17,20.59,16.97,20.48
b_0,3.15,3.17,3.41,3.23,2.25,2.68,11.75,14.9,14.79,12.32,21.11,14.79,28.46,22.34,14.38,23.07
f_0,2.93,2.42,3.32,3.35,3.41,3.25,11.45,13.23,13.37,11.02,13.01,24.49,14.88,22.81,33.93,24.82
a_0,3.5,2.91,3.4,2.93,2.55,2.56,12.21,14.68,13.93,10.54,16.19,13.59,27.65,24.74,15.34,26.2
h_0,3.78,3.04,3.41,3.18,2.81,3.17,7.69,13.62,13.52,13.38,15.02,13.43,14.79,16.63,16.79,27.27
e_0,3.42,2.06,3.03,3.23,3.46,3.59,11.38,13.56,12.91,13.47,15.24,14.51,15.48,26.74,30.6,25.37
g_0,2.96,2.62,4.66,2.94,2.77,2.9,11.52,15.05,12.14,8.75,13.63,18.42,15.26,21.56,19.78,18.61
