,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,23.28,0.32,0.3,0.38,0.36,0.32,0.72,0.7,1.66,0.69,0.82,0.82,0.85,0.92,0.22,0.91
f_1,0.76,23.42,0.33,0.35,0.28,0.27,0.74,0.61,0.72,0.57,0.18,0.76,0.8,0.76,0.41,0.73
d_1,0.27,0.34,29.7,0.3,0.31,0.42,0.77,0.66,0.15,2.17,0.72,0.83,0.84,0.76,0.84,0.71
c_1,0.3,0.35,0.3,29.53,0.73,0.29,0.74,0.59,0.8,0.13,0.73,0.64,0.87,0.67,0.85,0.84
b_1,0.32,0.32,0.3,0.36,30.96,0.7,0.71,0.8,0.74,0.78,0.91,0.15,0.8,0.64,0.77,0.83
a_1,0.32,0.39,0.33,0.3,0.29,48.25,0.54,0.62,0.7,0.91,0.75,0.85,1.21,0.42,0.83,1.03
h_1,0.51,0.9,0.78,0.54,0.67,0.61,9.01,1.96,1.17,1.44,1.48,1.33,0.46,1.37,1.4,1.68
g_1,0.49,0.63,1.31,0.57,0.44,0.58,1.09,11.6,0.93,1.26,2.91,1.58,1.59,1.38,1.16,0.52
d_0,0.49,0.64,0.18,1.49,0.76,0.57,1.47,1.4,6.04,0.98,1.74,1.84,1.43,1.55,1.7,1.32
c_0,0.54,0.89,0.72,0.2,0.47,0.77,1.68,1.64,1.55,6.02,1.62,4.01,1.39,1.51,2.01,1.85
f_0,0.52,0.25,0.89,0.81,0.64,0.55,1.44,1.67,1.46,1.47,6.88,1.86,2.24,1.85,5.47,1.7
b_0,0.57,0.84,0.71,0.64,0.25,0.55,1.51,1.38,1.38,1.08,1.94,6.37,1.82,3.48,1.84,2.56
h_0,0.56,0.97,0.69,0.68,0.61,0.41,0.55,1.79,1.28,0.93,1.4,1.83,0.59,1.47,2.02,1.98
a_0,0.67,0.73,0.98,0.47,0.63,,1.8,1.34,1.26,1.29,2.67,1.37,2.93,8.97,2.15,1.92
e_0,0.26,0.77,0.71,0.86,0.68,0.8,1.47,1.56,1.65,1.5,1.18,1.75,2.0,0.84,9.19,2.21
g_0,0.48,0.47,1.27,0.69,0.65,0.59,1.35,0.53,1.17,1.25,2.57,1.66,1.61,1.21,1.83,0.86
