,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.23,0.86,0.98,0.97,0.72,0.55,0.64,0.57,0.74,0.6,0.52,0.47,0.58,0.53,0.51
e_1,0.81,1.0,0.87,0.95,0.98,0.9,0.79,0.93,0.6,0.59,0.77,0.69,0.73,0.54,0.64,0.74
d_1,1.16,1.14,1.0,0.86,1.15,0.68,0.71,0.66,0.96,0.48,0.59,0.66,0.64,0.63,0.54,0.5
c_1,1.02,1.05,1.16,1.0,1.28,0.84,0.6,0.48,0.49,0.7,0.56,0.64,0.62,0.6,0.62,0.58
b_1,1.03,1.02,0.87,0.78,1.0,1.36,0.89,0.76,0.73,0.71,0.87,0.66,0.66,0.5,0.52,0.71
a_1,1.39,1.11,1.46,1.2,0.73,1.0,0.79,0.78,0.7,0.94,0.68,0.78,0.65,,0.72,0.54
h_1,1.81,1.25,1.42,1.57,1.08,1.25,1.0,0.76,0.93,1.15,0.75,0.72,0.92,0.83,0.68,0.88
d_0,1.62,1.05,1.43,2.26,1.4,1.21,1.32,1.0,1.03,1.1,0.91,0.89,0.94,0.85,0.81,0.92
c_0,1.72,1.61,0.99,2.12,1.35,1.42,1.07,0.97,1.0,1.08,1.36,0.89,0.96,0.92,0.88,0.82
g_1,1.4,1.54,2.12,1.49,1.32,1.04,0.85,0.94,0.89,1.0,0.96,1.1,0.77,0.74,0.76,0.68
b_0,1.67,1.28,1.69,1.96,1.03,1.46,1.32,1.03,0.77,1.03,1.0,0.86,0.93,1.18,0.8,0.68
f_0,2.12,1.37,1.57,1.66,1.41,1.24,1.41,1.15,1.15,0.9,1.15,1.0,0.98,1.05,1.56,0.83
h_0,2.14,1.37,1.63,1.62,1.47,1.55,1.04,1.02,1.01,1.33,1.06,1.02,1.0,0.77,1.0,1.06
a_0,1.85,1.77,1.6,1.82,1.91,,1.21,1.12,1.17,1.41,0.86,0.93,1.27,1.0,0.83,0.83
e_0,1.95,1.57,1.9,1.74,1.93,1.45,1.54,1.25,1.14,1.16,1.25,0.63,1.0,1.02,1.0,1.08
g_0,1.95,1.32,2.07,1.78,1.33,1.78,1.14,1.1,1.19,,1.43,1.25,0.95,1.26,0.9,1.0
