,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,3.82,0.69,0.43,0.45,0.41,0.31,0.63,0.66,0.71,0.65,0.84,0.25,0.7,0.85,0.93,0.54
e_1,0.45,3.84,0.32,0.36,0.37,0.33,0.8,0.71,1.58,0.9,0.98,0.99,0.89,0.83,0.84,0.28
d_1,0.38,0.33,4.09,0.34,0.36,0.46,0.76,0.76,0.2,1.57,0.98,0.84,0.75,1.13,0.8,1.09
c_1,0.4,0.45,0.37,4.29,0.74,0.34,0.62,0.69,0.71,0.15,0.66,0.79,0.9,0.89,0.81,0.72
b_1,0.32,0.37,0.4,0.4,5.01,0.81,0.79,0.67,0.81,0.62,0.19,1.06,0.63,0.88,0.81,0.81
a_1,0.42,0.42,0.45,0.35,0.37,6.56,0.99,0.84,0.74,0.85,0.69,0.62,0.2,0.83,0.79,0.74
h_1,0.99,0.59,0.67,0.68,0.54,0.57,5.26,1.58,1.62,1.53,1.17,1.49,1.08,0.59,2.06,1.58
g_1,0.55,0.6,1.31,0.73,0.52,0.52,1.18,6.23,0.81,1.2,1.17,1.76,0.99,1.23,0.72,1.27
d_0,0.7,0.61,0.26,1.45,0.7,0.68,1.46,1.26,3.7,1.3,1.36,1.53,1.6,1.48,1.48,1.55
c_0,0.87,0.68,0.79,0.33,0.57,0.65,1.27,1.7,1.35,4.06,3.21,1.73,1.87,1.66,1.5,1.63
b_0,0.86,0.65,0.68,0.83,0.31,0.62,1.49,1.24,1.56,1.12,4.27,1.27,3.28,1.96,1.75,1.91
f_0,0.37,0.52,0.82,0.84,0.67,0.79,1.65,1.27,1.71,1.55,1.46,4.75,1.52,1.48,1.89,3.77
a_0,0.98,0.75,0.78,0.86,0.61,,1.29,1.61,1.49,1.31,1.65,1.53,6.01,1.67,1.69,1.17
h_0,1.18,0.6,0.65,0.79,0.59,0.52,0.38,1.74,1.1,1.36,1.3,1.58,1.62,0.82,2.1,1.48
g_0,0.53,0.66,1.11,0.68,0.61,0.72,1.24,0.51,1.59,1.35,1.2,2.22,1.62,1.26,0.64,1.77
e_0,0.9,0.3,0.68,0.92,0.67,0.62,1.22,0.99,1.72,1.77,1.71,1.03,1.63,1.55,1.78,7.46
