,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.0,1.19,1.36,1.51,1.77,3.14,17.06,28.23,32.98,35.2,47.89,51.6,86.18,92.81,108.29,147.48
e_1,0.85,1.0,1.43,1.4,1.83,3.42,19.79,37.04,39.8,37.89,50.86,68.17,102.17,112.3,111.08,156.34
c_1,0.74,0.69,1.0,1.49,1.84,2.76,14.75,15.91,26.49,25.19,34.3,40.12,64.89,77.36,76.16,109.18
d_1,0.66,0.68,0.69,1.0,1.05,1.87,12.56,17.21,16.76,31.7,36.32,33.97,62.15,66.88,79.33,77.76
b_1,0.55,0.54,0.55,0.95,1.0,2.71,10.41,14.27,16.7,25.67,27.19,30.4,53.07,57.37,50.71,79.38
a_1,0.31,0.3,0.35,0.51,0.38,1.0,5.99,8.68,10.35,11.17,18.93,16.24,32.92,32.04,33.14,46.7
h_1,0.06,0.05,0.07,0.08,0.1,0.16,1.0,1.34,1.94,1.91,2.5,2.93,4.7,5.58,5.56,8.07
d_0,0.03,0.03,0.06,0.06,0.07,0.11,0.75,1.0,1.42,1.21,1.72,1.82,3.62,4.59,3.92,5.47
g_1,0.03,0.03,0.04,0.06,0.06,0.1,0.52,0.72,1.0,1.13,1.46,1.93,2.55,3.54,2.86,4.04
c_0,0.03,0.03,0.04,0.03,0.04,0.09,0.5,0.84,0.87,1.0,1.89,1.55,2.53,2.68,3.43,3.71
b_0,0.02,0.02,0.03,0.03,0.04,0.05,0.4,0.57,0.7,0.56,1.0,1.05,1.78,2.09,2.92,2.79
f_0,0.02,0.01,0.03,0.03,0.03,0.06,0.34,0.51,0.53,0.65,0.92,1.0,1.73,2.62,1.72,2.1
h_0,0.01,0.01,0.02,0.02,0.02,0.03,0.21,0.27,0.4,0.39,0.54,0.54,1.0,1.12,0.97,1.71
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.18,0.22,0.3,0.36,0.46,0.39,0.86,1.0,1.02,1.28
a_0,0.01,0.01,0.01,0.01,0.02,0.03,0.19,0.25,0.35,0.3,0.36,0.53,1.0,1.02,1.0,1.36
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.12,0.19,0.24,0.27,0.35,0.45,0.57,0.77,0.73,1.0
