,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.21,0.89,0.96,0.9,0.76,0.6,0.66,0.65,0.6,0.6,0.56,0.52,0.56,0.58,0.45
e_1,0.82,1.0,0.94,1.14,1.03,0.8,0.69,0.91,0.67,0.6,0.66,0.76,0.61,0.55,0.66,0.61
d_1,1.11,1.08,1.0,0.95,0.92,0.75,0.65,0.76,0.57,0.84,0.62,0.62,0.55,0.54,0.49,0.57
c_1,1.04,0.88,1.1,1.0,1.25,0.82,0.68,0.47,0.72,0.58,0.52,0.65,0.61,0.58,0.52,0.57
b_1,1.13,0.98,1.06,0.81,1.0,1.37,0.8,0.65,0.73,0.75,0.69,0.64,0.6,0.53,0.58,0.57
a_1,1.33,1.19,1.27,1.16,0.74,1.0,1.07,0.74,0.87,0.73,0.94,0.68,0.8,0.78,0.68,0.63
h_1,1.61,1.49,1.52,1.49,1.24,0.96,1.0,0.79,1.06,0.91,0.92,0.82,0.84,0.73,0.84,0.77
d_0,1.46,1.1,1.33,2.11,1.58,1.39,1.23,1.0,0.98,0.81,1.04,0.93,0.87,0.84,0.96,0.92
g_1,1.52,1.47,1.71,1.36,1.35,1.17,0.94,0.98,1.0,1.02,1.03,1.12,0.83,0.88,0.88,0.83
c_0,1.64,1.61,1.24,1.63,1.3,1.41,1.15,1.13,1.0,1.0,1.36,0.98,0.99,1.06,0.85,0.95
b_0,1.7,1.56,1.53,1.79,1.52,1.11,1.13,1.03,0.96,0.78,1.0,0.89,0.97,1.2,0.86,0.87
f_0,1.76,1.32,1.63,1.58,1.52,1.43,1.21,1.06,0.88,1.0,1.14,1.0,1.07,1.05,0.75,1.21
h_0,1.9,1.7,1.82,1.59,1.6,1.25,1.23,1.09,1.18,1.01,1.02,0.94,1.0,0.98,1.03,0.81
a_0,1.79,1.78,1.81,1.81,1.92,1.31,1.37,1.22,1.17,0.96,0.88,1.13,1.02,1.0,1.0,0.95
g_0,1.73,1.55,2.11,1.88,1.77,1.45,1.17,1.07,1.14,1.2,1.14,1.3,0.92,0.98,1.0,0.97
e_0,2.14,1.59,1.68,1.8,1.74,1.64,1.33,1.13,1.18,1.09,1.21,0.83,1.24,1.06,0.98,1.0
