,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.41,0.55,0.95,0.71,0.87,0.82,0.49,0.46,0.38,0.47,0.4,0.44,0.34,0.4,0.75,0.37
f_1,0.9,0.4,0.85,0.86,0.7,0.69,0.34,0.35,0.32,0.55,0.36,0.47,0.24,0.39,0.28,0.33
c_1,0.67,0.86,0.39,0.91,1.0,0.78,0.45,0.24,0.44,0.4,0.31,0.33,0.29,0.34,0.35,0.32
d_1,0.99,0.74,0.8,0.39,0.86,0.7,0.41,0.55,0.41,0.29,0.37,0.37,0.31,0.32,0.34,0.23
b_1,0.89,0.99,0.49,0.72,0.36,1.23,0.46,0.38,0.53,0.51,0.53,0.34,0.33,0.35,0.35,0.29
a_1,0.78,0.98,0.91,0.89,0.45,0.32,0.52,0.39,0.34,0.44,0.46,0.4,0.33,0.49,0.41,0.35
h_1,0.67,0.82,0.79,0.73,0.68,0.6,0.25,0.35,0.32,0.45,0.32,0.31,0.35,0.31,0.3,0.29
d_0,0.44,0.78,0.88,1.0,0.85,0.7,0.4,0.25,0.3,0.4,0.34,0.31,0.31,0.29,0.36,0.36
c_0,0.67,0.78,1.17,0.47,0.61,0.8,0.39,0.41,0.25,0.39,0.37,0.33,0.33,0.39,0.32,0.27
g_1,0.68,0.68,0.82,0.79,0.69,0.7,0.29,0.35,0.34,0.22,0.33,0.33,0.25,0.27,0.31,0.3
b_0,0.65,0.76,0.99,0.62,1.06,0.64,0.39,0.33,0.19,0.37,0.23,0.31,0.26,0.38,0.3,0.28
f_0,0.63,1.05,0.71,0.71,0.75,0.64,0.42,0.32,0.35,0.28,0.34,0.23,0.32,0.32,0.38,0.2
h_0,0.7,0.79,0.75,0.7,0.71,0.68,0.45,0.3,0.27,0.41,0.3,0.32,0.32,0.25,0.29,0.34
a_0,0.64,0.64,0.67,0.85,0.91,0.92,0.43,0.36,0.28,0.47,0.2,0.35,0.29,0.2,0.32,0.26
e_0,0.69,1.02,0.7,0.75,0.77,0.6,0.33,0.3,0.29,0.38,0.33,0.2,0.28,0.34,0.2,0.24
g_0,0.66,0.69,0.68,0.82,0.74,0.72,0.3,0.3,0.3,0.54,0.32,0.34,0.21,0.34,0.35,0.3
