,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,2.48,2.15,1.4,1.5,1.31,1.46,2.53,2.6,2.69,3.17,3.07,2.44,3.01,3.43,2.24,4.09
e_1,1.37,2.5,1.22,1.73,1.63,1.48,3.22,2.72,3.02,5.11,3.48,3.7,3.51,4.21,3.14,4.12
d_1,1.66,1.44,2.54,1.32,1.37,1.53,2.91,2.77,4.65,2.48,3.8,3.74,3.66,4.16,3.35,3.64
c_1,1.34,1.43,1.54,2.57,2.42,1.34,2.56,2.3,2.02,2.54,2.34,2.95,3.3,3.7,2.92,3.88
b_1,1.61,1.27,1.59,1.28,2.67,2.37,2.71,2.91,3.54,3.06,2.81,3.17,2.92,4.8,3.72,4.27
a_1,1.6,1.45,1.62,1.63,1.18,3.24,3.32,2.95,3.54,3.31,3.49,3.55,2.91,4.36,3.65,4.56
h_1,1.96,1.44,1.81,1.52,1.39,1.33,4.32,3.84,3.33,3.07,3.48,3.15,3.13,3.67,3.44,5.06
g_1,1.61,1.34,2.15,1.67,1.38,1.46,2.52,4.72,2.84,2.59,3.22,4.83,3.28,3.77,3.96,3.49
c_0,1.76,1.53,1.61,1.53,1.17,1.49,3.39,3.49,4.43,3.58,5.7,3.65,4.24,4.27,4.06,4.45
d_0,1.46,1.37,1.26,2.42,1.72,1.45,3.37,3.38,2.34,4.31,3.23,3.3,3.35,4.12,3.07,4.45
b_0,1.75,1.56,1.68,1.81,1.09,1.23,3.05,3.42,2.89,3.3,4.65,3.98,6.38,4.63,3.63,4.04
f_0,1.54,1.4,1.63,1.8,1.55,1.43,3.1,3.16,3.59,3.4,3.26,4.74,3.59,4.86,6.12,3.69
a_0,1.76,1.49,1.75,1.64,1.73,1.14,3.79,3.32,3.01,3.16,3.07,3.64,5.07,4.96,3.79,4.37
h_0,2.01,1.51,1.78,1.51,1.25,1.65,2.47,4.08,3.17,3.12,3.36,3.2,3.04,3.47,3.63,5.04
e_0,1.93,0.99,1.84,1.67,1.39,1.67,3.47,3.11,3.01,3.45,3.19,3.03,3.46,3.96,5.56,4.58
g_0,1.37,1.27,2.28,1.46,1.56,1.51,3.06,3.03,3.4,2.67,3.42,4.81,3.48,3.6,3.89,3.56
