,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.18,0.85,0.99,1.0,0.74,0.59,0.62,0.69,0.54,0.63,0.5,0.47,0.46,0.44,0.57
e_1,0.86,1.0,0.91,1.1,0.83,0.88,0.8,0.92,0.7,0.7,0.56,0.69,0.62,0.61,0.75,0.62
d_1,1.18,1.07,1.0,0.83,0.86,0.83,0.69,0.71,0.54,0.89,0.64,0.55,0.66,0.6,0.61,0.43
c_1,1.0,0.91,1.22,1.0,1.29,0.78,0.75,0.5,0.66,0.54,0.58,0.61,0.64,0.55,0.56,0.53
b_1,1.0,1.21,1.17,0.78,1.0,1.41,0.84,0.7,0.68,0.68,0.69,0.55,0.56,0.49,0.45,0.56
a_1,1.36,1.12,1.21,1.3,0.7,1.0,0.89,0.78,0.82,0.79,0.88,0.84,0.69,0.88,0.81,0.76
h_1,1.68,1.28,1.43,1.36,1.23,1.09,1.0,0.94,1.25,0.87,0.84,0.81,0.86,0.75,0.83,0.85
d_0,1.57,1.08,1.39,2.0,1.51,1.2,1.08,1.0,0.97,0.91,0.81,0.98,0.88,0.83,0.87,0.95
g_1,1.46,1.43,1.87,1.54,1.47,1.13,0.81,1.02,1.0,0.79,0.96,1.11,0.77,0.94,0.8,0.75
c_0,1.75,1.42,1.13,1.77,1.44,1.27,1.19,1.12,1.28,1.0,1.33,0.98,0.94,0.97,0.87,0.9
b_0,1.65,1.72,1.59,1.77,1.55,1.06,1.24,1.15,1.05,0.73,1.0,1.02,0.86,1.36,0.97,0.82
f_0,1.81,1.5,1.84,1.71,1.83,1.2,1.21,1.01,0.9,1.05,1.04,1.0,1.01,0.94,1.3,0.73
h_0,2.1,1.62,1.53,1.64,1.75,1.42,1.17,1.12,1.32,1.05,1.08,0.93,1.0,0.98,0.97,1.09
a_0,2.12,1.69,1.63,1.77,1.95,1.05,1.37,1.23,1.13,1.06,0.78,0.99,1.01,1.0,1.11,0.89
e_0,2.16,1.46,1.72,1.75,2.13,1.36,1.27,1.16,1.23,1.07,1.02,0.74,0.98,0.93,1.0,1.16
g_0,1.75,1.59,2.32,1.99,1.66,1.33,1.16,1.05,1.32,1.09,1.12,1.36,0.94,1.11,0.92,1.0
