,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.21,0.99,0.95,0.92,0.91,0.89,1.01,0.97,0.91,0.99,0.98,0.9,0.97,0.84,1.03
e_1,0.83,1.0,1.19,0.92,1.07,1.0,1.03,1.3,1.08,1.01,0.96,1.1,0.99,0.97,1.13,1.13
c_1,1.02,0.86,1.0,1.03,1.31,1.03,1.03,0.76,0.97,0.82,0.78,0.94,1.02,0.99,1.02,0.96
d_1,1.07,1.07,0.95,1.0,0.98,0.86,0.94,1.0,0.86,1.27,1.1,0.89,0.98,1.02,0.96,0.81
b_1,1.1,0.94,0.77,1.02,1.0,1.5,1.13,0.95,1.02,1.08,1.06,1.08,1.02,0.95,1.03,1.02
a_1,1.09,0.97,0.97,1.14,0.69,1.0,1.22,1.03,1.24,1.01,1.35,1.11,1.18,1.04,1.02,1.05
h_1,1.13,0.95,1.0,1.07,0.91,0.83,1.0,0.93,1.14,0.98,0.96,1.01,1.04,0.93,0.94,1.18
d_0,0.96,0.79,1.34,0.97,1.08,0.96,1.05,1.0,1.04,0.83,0.98,0.91,1.0,1.03,1.02,1.11
g_1,1.01,0.93,1.05,1.15,0.97,0.77,0.85,0.96,1.0,1.01,0.97,1.16,0.87,0.9,1.05,1.03
c_0,1.05,1.03,1.21,0.8,0.93,0.94,1.02,1.2,0.98,1.0,1.26,0.97,1.15,1.16,1.02,1.1
b_0,0.99,1.03,1.25,0.91,0.99,0.77,1.01,1.03,1.08,0.79,1.0,1.08,1.1,1.34,0.88,1.1
f_0,1.05,0.95,1.05,1.12,0.93,0.87,0.96,1.07,0.83,0.99,0.98,1.0,1.03,0.96,1.31,0.88
h_0,1.07,1.06,0.98,0.99,0.98,0.83,0.96,0.95,1.2,0.9,0.93,0.97,1.0,0.98,0.97,1.11
a_0,0.98,1.0,1.06,0.99,1.01,0.92,1.04,0.99,1.12,0.85,0.78,1.03,0.98,1.0,1.1,0.88
e_0,1.14,0.89,0.99,1.02,0.94,0.99,1.06,0.97,0.91,0.95,1.04,0.75,1.07,0.98,1.0,1.09
g_0,1.01,0.9,1.03,1.2,1.0,0.91,0.84,0.89,0.99,0.95,0.92,1.14,0.93,1.06,0.98,1.0
