,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.18,7.93,11.01,14.27,13.33,14.35,3.97,2.61,3.9,2.85,2.88,2.88,1.79,2.8,1.58,
f_1,17.65,0.17,13.53,13.13,13.47,10.68,2.29,2.47,3.43,1.85,2.72,,1.31,3.79,2.38,2.17
d_1,12.59,10.65,0.16,15.31,11.48,,3.64,,2.32,3.25,3.24,2.92,1.6,2.44,1.08,2.52
c_1,12.77,13.52,16.44,0.15,14.92,9.47,4.5,1.37,3.16,,3.36,2.5,1.92,2.94,2.02,1.45
b_1,12.55,12.24,12.2,5.69,0.13,14.57,5.05,2.57,3.57,4.9,,3.14,1.75,2.3,1.7,3.13
a_1,12.14,21.36,,16.57,5.98,0.1,2.69,2.38,,3.02,2.19,2.87,1.91,,2.16,1.88
h_1,3.08,2.85,3.22,3.13,4.55,3.96,0.07,0.74,0.98,0.52,0.61,0.5,,0.92,0.51,0.98
d_0,1.41,3.09,,2.19,2.03,2.19,0.67,0.08,0.92,0.78,0.48,0.47,0.43,0.4,0.39,0.62
g_1,4.06,3.7,2.32,3.28,4.16,,0.8,0.8,0.05,0.7,0.85,0.87,0.3,0.66,,
c_0,2.93,2.55,1.28,,2.83,3.2,0.59,0.58,0.73,0.08,0.57,0.57,0.36,0.44,0.56,0.59
b_0,2.56,2.64,3.12,2.66,,4.57,0.73,0.62,0.56,0.31,0.07,0.55,0.33,0.59,0.33,0.52
f_0,2.48,,2.55,3.12,2.2,3.75,0.86,0.52,0.6,0.59,0.59,0.07,0.31,0.72,0.19,0.43
h_0,1.89,1.28,2.02,1.74,2.88,1.81,,0.29,0.35,0.36,0.26,0.32,,0.28,0.25,0.37
a_0,4.0,2.65,2.44,2.94,2.43,,0.8,0.53,0.7,0.6,0.32,0.46,0.36,0.04,0.45,
g_0,1.98,2.5,1.75,1.72,2.27,1.44,0.33,0.3,,0.27,0.32,0.41,0.21,0.32,,0.44
e_0,,3.48,3.36,3.3,1.77,2.51,0.53,0.62,,0.47,0.49,0.27,0.39,,0.31,0.04
