,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,1.0,1.17,1.18,1.18,1.38,2.73,19.11,,34.09,18.0,43.27,45.31,63.35,77.07,96.67,81.52
f_1,0.85,1.0,1.31,1.41,1.79,2.51,16.62,27.3,30.29,24.86,35.22,,65.45,62.28,67.47,120.44
e_1,0.84,0.77,1.0,1.05,1.42,2.28,16.88,31.05,21.14,31.27,33.99,35.55,60.31,68.97,,110.23
c_1,0.85,0.71,0.96,1.0,1.72,,14.47,17.07,,24.08,23.18,34.72,58.21,78.87,80.36,119.09
b_1,0.73,0.56,0.7,0.58,1.0,2.77,13.14,17.99,14.53,17.33,,27.28,41.19,48.53,54.71,56.2
a_1,0.37,0.4,0.44,,0.36,1.0,4.49,7.16,9.32,9.52,13.91,,21.27,,,36.99
h_1,0.05,0.06,0.06,0.07,0.08,0.22,1.0,1.61,1.42,1.75,1.68,2.35,,4.03,5.78,7.06
d_0,,0.04,0.03,0.06,0.06,0.14,0.62,1.0,1.02,1.0,1.7,1.6,2.54,3.46,2.83,5.06
c_0,0.03,0.03,0.05,,0.07,0.11,0.7,0.98,1.0,1.0,1.7,1.48,2.19,2.91,2.49,4.53
g_1,0.06,0.04,0.03,0.04,0.06,0.11,0.57,1.0,1.0,1.0,1.25,1.89,1.86,,3.13,
b_0,0.02,0.03,0.03,0.04,,0.07,0.6,0.59,0.59,0.8,1.0,1.24,1.92,2.49,,3.39
f_0,0.02,,0.03,0.03,0.04,,0.43,0.63,0.68,0.53,0.81,1.0,1.8,2.43,2.67,2.05
h_0,0.02,0.02,0.02,0.02,0.02,0.05,,0.39,0.46,0.54,0.52,0.56,,1.3,1.28,2.4
a_0,0.01,0.02,0.01,0.01,0.02,,0.25,0.29,0.34,,0.4,0.41,0.77,1.0,,1.55
e_0,0.01,0.01,,0.01,0.02,,0.17,0.35,0.4,0.32,,0.37,0.78,,1.0,1.06
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.14,0.2,0.22,,0.29,0.49,0.42,0.65,0.94,
