,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.99,1.26,1.39,1.62,3.12,18.23,30.13,46.49,25.76,32.88,44.74,80.8,69.05,,123.33
f_1,1.01,1.0,1.26,1.11,1.38,2.2,13.61,23.23,28.26,28.68,32.06,,47.35,56.16,59.61,77.36
c_1,0.8,0.79,1.0,1.11,1.52,1.88,20.65,22.17,18.01,25.82,,45.52,57.21,60.21,65.57,90.85
d_1,0.72,0.9,0.9,1.0,1.54,2.22,13.69,18.75,,27.56,44.12,30.96,,52.21,91.53,46.42
b_1,0.62,0.72,0.66,0.65,1.0,2.26,10.83,20.77,16.73,,27.01,20.33,50.29,48.66,56.02,106.18
a_1,0.32,0.45,0.53,0.45,0.44,1.0,8.66,10.57,12.07,12.21,12.66,18.87,,30.1,,35.72
h_1,0.05,0.07,0.05,0.07,0.09,0.12,1.0,1.71,1.69,1.25,1.47,2.41,4.32,,5.62,7.31
g_1,0.03,0.04,0.05,0.05,0.05,0.09,0.59,1.0,0.95,1.41,1.21,2.08,,2.57,3.44,
d_0,0.02,0.04,0.06,,0.06,0.08,0.59,1.05,1.0,1.42,0.93,1.32,2.07,2.93,4.05,3.84
b_0,0.04,0.03,0.04,0.04,,0.08,0.8,0.71,0.71,1.0,0.91,1.62,4.0,2.54,2.79,3.33
c_0,0.03,0.03,,0.02,0.04,0.08,0.68,0.83,1.08,1.09,1.0,1.27,2.2,2.53,3.75,2.92
f_0,0.02,,0.02,0.03,0.05,0.05,0.41,0.48,0.76,0.62,0.79,1.0,1.61,1.95,2.21,2.18
a_0,0.01,0.02,0.02,,0.02,,0.23,,0.48,0.25,0.46,0.62,1.0,1.12,,1.3
h_0,0.01,0.02,0.02,0.02,0.02,0.03,,0.39,0.34,0.39,0.4,0.51,0.89,,0.88,1.48
e_0,,0.02,0.02,0.01,0.02,,0.18,0.29,0.25,0.36,0.27,0.45,,1.13,1.0,1.2
g_0,0.01,0.01,0.01,0.02,0.01,0.03,0.14,,0.26,0.3,0.34,0.46,0.77,0.68,0.83,
