,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,5.85,1.63,1.24,1.78,1.51,1.68,5.92,11.81,5.85,7.6,7.45,7.35,10.82,9.01,10.32,4.39
f_1,2.94,6.26,1.46,1.4,1.22,1.1,4.54,7.29,4.65,7.04,6.82,3.18,10.13,6.86,9.84,4.16
d_1,1.39,1.71,6.45,1.27,1.45,1.44,6.14,3.84,5.26,12.83,8.87,8.35,11.38,7.83,11.46,8.13
c_1,1.33,1.54,1.48,6.53,2.68,1.52,5.62,6.82,5.28,3.05,5.5,6.07,11.66,6.16,10.19,8.44
b_1,1.32,1.4,1.64,1.47,7.16,3.08,5.2,6.32,5.09,6.81,3.42,8.2,9.81,5.06,9.01,8.39
a_1,1.32,1.58,1.7,1.8,1.58,10.5,5.45,7.08,5.07,8.46,7.81,8.41,10.42,3.88,9.74,7.64
h_1,1.66,2.59,2.06,1.64,1.52,1.65,17.12,9.25,9.08,8.41,7.39,8.5,8.57,9.85,21.92,10.45
d_0,1.88,1.78,1.01,3.69,1.95,1.98,6.42,15.75,6.38,6.03,8.66,8.65,15.02,8.06,11.89,8.69
g_1,1.51,1.54,3.02,1.9,1.74,1.32,6.51,6.92,21.66,8.4,9.32,15.46,13.44,9.98,8.85,11.24
c_0,1.81,2.1,1.87,1.55,1.6,1.87,6.76,9.45,7.66,17.12,18.14,9.37,15.52,12.07,15.13,10.46
b_0,2.23,2.16,1.81,2.03,1.22,0.97,8.66,8.35,8.26,8.74,20.34,10.8,17.09,22.36,12.41,8.22
f_0,1.4,1.08,2.26,2.15,2.02,1.88,7.49,8.65,8.09,8.13,8.81,20.03,15.38,9.84,16.25,24.72
h_0,1.89,2.53,1.73,2.14,2.1,1.32,4.64,7.88,9.78,7.85,9.66,8.82,8.65,9.7,15.25,10.64
a_0,1.73,2.29,2.36,1.85,1.57,0.79,8.19,9.23,7.76,8.66,9.36,10.67,18.18,26.06,17.89,10.43
g_0,1.5,1.56,3.18,1.9,1.93,1.83,5.82,6.42,4.75,9.28,9.15,13.97,13.14,7.69,11.68,11.76
e_0,1.06,2.31,2.53,2.07,1.71,1.73,7.46,8.39,7.64,9.31,10.83,10.05,16.21,10.62,15.55,26.99
